 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
309,308,null,Point,none,127,135,1,1,1,red,none,0,1,0,1,0
310,309,null,Point,none,119,136,1,1,1,red,none,0,1,0,1,0
311,310,null,Point,none,106,132,1,1,1,red,none,0,1,0,1,0
312,311,null,Point,none,120,116,1,1,1,red,none,0,1,0,1,0
313,312,null,Point,none,104,118,1,1,1,red,none,0,1,0,1,0
314,313,null,Point,none,159,136,1,1,1,red,none,0,1,0,1,0
315,314,null,Point,none,113,146,1,1,1,red,none,0,1,0,1,0
316,315,null,Point,none,111,139,1,1,1,red,none,0,1,0,1,0
317,316,null,Point,none,109,124,1,1,1,red,none,0,1,0,1,0
318,317,null,Point,none,109,103,1,1,1,red,none,0,1,0,1,0
319,318,null,Point,none,98,122,1,1,1,red,none,0,1,0,1,0
320,319,null,Point,none,174,115,1,1,1,red,none,0,1,0,1,0
321,320,null,Point,none,173,129,1,1,1,red,none,0,1,0,1,0
322,321,null,Point,none,158,159,1,1,1,red,none,0,1,0,1,0
323,322,null,Point,none,101,152,1,1,1,red,none,0,1,0,1,0
324,323,null,Point,none,93,152,1,1,1,red,none,0,1,0,1,0
325,324,null,Point,none,101,138,1,1,1,red,none,0,1,0,1,0
326,325,null,Point,none,90,123,1,1,1,red,none,0,1,0,1,0
327,326,null,Point,none,101,105,1,1,1,red,none,0,1,0,1,0
328,327,null,Point,none,111,95,1,1,1,red,none,0,1,0,1,0
329,328,null,Point,none,156,101,1,1,1,red,none,0,1,0,1,0
330,329,null,Point,none,157,84,1,1,1,red,none,0,1,0,1,0
331,330,null,Point,none,165,151,1,1,1,red,none,0,1,0,1,0
332,331,null,Point,none,80,130,1,1,1,red,none,0,1,0,1,0
333,332,null,Point,none,88,91,1,1,1,red,none,0,1,0,1,0
334,333,null,Point,none,163,97,1,1,1,red,none,0,1,0,1,0
335,334,null,Point,none,170,121,1,1,1,red,none,0,1,0,1,0
336,335,null,Point,none,123,173,1,1,1,red,none,0,1,0,1,0
