 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
633,632,null,Point,none,53,131,1,1,1,red,none,0,5,0,5,0
634,633,null,Point,none,174,91,1,1,1,red,none,0,12,0,12,0
635,634,null,Point,none,172,154,1,1,1,red,none,0,15,0,15,0
636,635,null,Point,none,109,160,1,1,1,red,none,0,19,0,19,0
637,636,null,Point,none,101,99,1,1,1,red,none,0,1,0,1,0
638,637,null,Point,none,90,142,1,1,1,red,none,0,1,0,1,0
639,638,null,Point,none,91,153,1,1,1,red,none,0,1,0,1,0
640,639,null,Point,none,169,87,1,1,1,red,none,0,1,0,1,0
641,640,null,Point,none,146,166,1,1,1,red,none,0,1,0,1,0
642,641,null,Point,none,186,153,1,1,1,red,none,0,3,0,3,0
643,642,null,Point,none,179,143,1,1,1,red,none,0,15,0,15,0
644,643,null,Point,none,133,149,1,1,1,red,none,0,19,0,19,0
645,644,null,Point,none,119,140,1,1,1,red,none,0,19,0,19,0
646,645,null,Point,none,161,101,1,1,1,red,none,0,1,0,1,0
647,646,null,Point,none,95,134,1,1,1,red,none,0,1,0,1,0
648,647,null,Point,none,187,109,1,1,1,red,none,0,11,0,11,0
649,648,null,Point,none,65,89,1,1,1,red,none,0,13,0,13,0
650,649,null,Point,none,130,110,1,1,1,red,none,0,1,0,1,0
651,650,null,Point,none,141,178,1,1,1,red,none,0,3,0,3,0
652,651,null,Point,none,195,121,1,1,1,red,none,0,2,0,2,0
653,652,null,Point,none,178,157,1,1,1,red,none,0,2,0,2,0
654,653,null,Point,none,159,176,1,1,1,red,none,0,5,0,5,0
655,654,null,Point,none,116,72,1,1,1,red,none,0,14,0,14,0
656,655,null,Point,none,123,160,1,1,1,red,none,0,19,0,19,0
657,656,null,Point,none,116,126,1,1,1,red,none,0,1,0,1,0
658,657,null,Point,none,109,130,1,1,1,red,none,0,1,0,1,0
659,658,null,Point,none,109,95,1,1,1,red,none,0,18,0,18,0
660,659,null,Point,none,161,122,1,1,1,red,none,0,1,0,1,0
661,660,null,Point,none,101,72,1,1,1,red,none,0,15,0,15,0
662,661,null,Point,none,128,126,1,1,1,red,none,0,1,0,1,0
663,662,null,Point,none,175,132,1,1,1,red,none,0,18,0,18,0
664,663,null,Point,none,117,110,1,1,1,red,none,0,19,0,19,0
665,664,null,Point,none,140,119,1,1,1,red,none,0,19,0,19,0
666,665,null,Point,none,146,63,1,1,1,red,none,0,2,0,2,0
667,666,null,Point,none,150,143,1,1,1,red,none,0,1,0,1,0
668,667,null,Point,none,106,70,1,1,1,red,none,0,1,0,1,0
669,668,null,Point,none,101,163,1,1,1,red,none,0,1,0,1,0
670,669,null,Point,none,97,174,1,1,1,red,none,0,6,0,6,0
671,670,null,Point,none,146,183,1,1,1,red,none,0,9,0,9,0
672,671,null,Point,none,90,61,1,1,1,red,none,0,7,0,7,0
673,672,null,Point,none,99,176,1,1,1,red,none,0,12,0,12,0
674,673,null,Point,none,162,69,1,1,1,red,none,0,9,0,9,0
675,674,null,Point,none,85,64,1,1,1,red,none,0,8,0,8,0
676,675,null,Point,none,150,180,1,1,1,red,none,0,11,0,11,0
677,676,null,Point,none,56,92,1,1,1,red,none,0,9,0,9,0
678,677,null,Point,none,93,173,1,1,1,red,none,0,13,0,13,0
679,678,null,Point,none,168,73,1,1,1,red,none,0,9,0,9,0
680,679,null,Point,none,83,93,1,1,1,red,none,0,18,0,18,0
681,680,null,Point,none,129,80,1,1,1,red,none,0,1,0,1,0
682,681,null,Point,none,77,81,1,1,1,red,none,0,1,0,1,0
683,682,null,Point,none,56,121,1,1,1,red,none,0,13,0,13,0
684,683,null,Point,none,89,88,1,1,1,red,none,0,18,0,18,0
685,684,null,Point,none,68,132,1,1,1,red,none,0,18,0,18,0
686,685,null,Point,none,135,125,1,1,1,red,none,0,19,0,19,0
687,686,null,Point,none,182,86,1,1,1,red,none,0,3,0,3,0
688,687,null,Point,none,60,122,1,1,1,red,none,0,16,0,16,0
689,688,null,Point,none,133,171,1,1,1,red,none,0,18,0,18,0
690,689,null,Point,none,134,141,1,1,1,red,none,0,19,0,19,0
691,690,null,Point,none,177,157,1,1,1,red,none,0,13,0,13,0
692,691,null,Point,none,93,98,1,1,1,red,none,0,1,0,1,0
693,692,null,Point,none,163,165,1,1,1,red,none,0,15,0,15,0
694,693,null,Point,none,146,127,1,1,1,red,none,0,1,0,1,0
695,694,null,Point,none,123,103,1,1,1,red,none,0,19,0,19,0
696,695,null,Point,none,81,107,1,1,1,red,none,0,19,0,19,0
697,696,null,Point,none,144,75,1,1,1,red,none,0,1,0,1,0
698,697,null,Point,none,100,172,1,1,1,red,none,0,4,0,4,0
699,698,null,Point,none,159,76,1,1,1,red,none,0,1,0,1,0
700,699,null,Point,none,156,69,1,1,1,red,none,0,10,0,10,0
701,700,null,Point,none,122,80,1,1,1,red,none,0,1,0,1,0
702,701,null,Point,none,114,178,1,1,1,red,none,0,15,0,15,0
703,702,null,Point,none,121,181,1,1,1,red,none,0,14,0,14,0
704,703,null,Point,none,75,127,1,1,1,red,none,0,18,0,18,0
705,704,null,Point,none,189,105,1,1,1,red,none,0,1,0,1,0
706,705,null,Point,none,65,125,1,1,1,red,none,0,18,0,18,0
707,706,null,Point,none,187,155,1,1,1,red,none,0,5,0,5,0
708,707,null,Point,none,57,128,1,1,1,red,none,0,14,0,14,0
709,708,null,Point,none,83,135,1,1,1,red,none,0,19,0,19,0
710,709,null,Point,none,88,92,1,1,1,red,none,0,1,0,1,0
711,710,null,Point,none,174,131,1,1,1,red,none,0,1,0,1,0
712,711,null,Point,none,188,119,1,1,1,red,none,0,1,0,1,0
713,712,null,Point,none,104,78,1,1,1,red,none,0,1,0,1,0
714,713,null,Point,none,85,166,1,1,1,red,none,0,5,0,5,0
715,714,null,Point,none,101,120,1,1,1,red,none,0,1,0,1,0
716,715,null,Point,none,96,91,1,1,1,red,none,0,1,0,1,0
717,716,null,Point,none,82,161,1,1,1,red,none,0,18,0,18,0
718,717,null,Point,none,172,80,1,1,1,red,none,0,2,0,2,0
719,718,null,Point,none,147,125,1,1,1,red,none,0,19,0,19,0
720,719,null,Point,none,148,82,1,1,1,red,none,0,1,0,1,0
721,720,null,Point,none,131,118,1,1,1,red,none,0,19,0,19,0
722,721,null,Point,none,183,161,1,1,1,red,none,0,6,0,6,0
723,722,null,Point,none,186,134,1,1,1,red,none,0,1,0,1,0
724,723,null,Point,none,128,183,1,1,1,red,none,0,5,0,5,0
725,724,null,Point,none,191,106,1,1,1,red,none,0,9,0,9,0
726,725,null,Point,none,191,99,1,1,1,red,none,0,3,0,3,0
727,726,null,Point,none,127,73,1,1,1,red,none,0,1,0,1,0
728,727,null,Point,none,98,139,1,1,1,red,none,0,19,0,19,0
729,728,null,Point,none,134,176,1,1,1,red,none,0,2,0,2,0
730,729,null,Point,none,56,141,1,1,1,red,none,0,7,0,7,0
731,730,null,Point,none,140,90,1,1,1,red,none,0,17,0,17,0
732,731,null,Point,none,76,149,1,1,1,red,none,0,18,0,18,0
733,732,null,Point,none,179,119,1,1,1,red,none,0,16,0,16,0
734,733,null,Point,none,149,117,1,1,1,red,none,0,19,0,19,0
