 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,120,114,1,1,1,red,none,0,1,0,1,0
2,1,null,Point,none,127,118,1,1,1,red,none,0,1,0,1,0
3,2,null,Point,none,114,119,1,1,1,red,none,0,1,0,1,0
4,3,null,Point,none,131,111,1,1,1,red,none,0,1,0,1,0
5,4,null,Point,none,111,112,1,1,1,red,none,0,1,0,1,0
6,5,null,Point,none,122,99,1,1,1,red,none,0,1,0,1,0
7,6,null,Point,none,110,99,1,1,1,red,none,0,1,0,1,0
8,7,null,Point,none,136,99,1,1,1,red,none,0,1,0,1,0
9,8,null,Point,none,141,114,1,1,1,red,none,0,1,0,1,0
10,9,null,Point,none,138,128,1,1,1,red,none,0,1,0,1,0
11,10,null,Point,none,123,137,1,1,1,red,none,0,1,0,1,0
12,11,null,Point,none,116,134,1,1,1,red,none,0,1,0,1,0
13,12,null,Point,none,106,119,1,1,1,red,none,0,1,0,1,0
14,13,null,Point,none,129,95,1,1,1,red,none,0,1,0,1,0
15,14,null,Point,none,144,102,1,1,1,red,none,0,1,0,1,0
16,15,null,Point,none,102,112,1,1,1,red,none,0,1,0,1,0
17,16,null,Point,none,116,94,1,1,1,red,none,0,1,0,1,0
18,17,null,Point,none,98,105,1,1,1,red,none,0,1,0,1,0
19,18,null,Point,none,136,91,1,1,1,red,none,0,1,0,1,0
20,19,null,Point,none,155,111,1,1,1,red,none,0,1,0,1,0
21,20,null,Point,none,149,116,1,1,1,red,none,0,1,0,1,0
22,21,null,Point,none,142,134,1,1,1,red,none,0,1,0,1,0
23,22,null,Point,none,136,139,1,1,1,red,none,0,1,0,1,0
24,23,null,Point,none,117,142,1,1,1,red,none,0,1,0,1,0
25,24,null,Point,none,101,141,1,1,1,red,none,0,1,0,1,0
26,25,null,Point,none,100,133,1,1,1,red,none,0,1,0,1,0
27,26,null,Point,none,101,88,1,1,1,red,none,0,1,0,1,0
28,27,null,Point,none,123,83,1,1,1,red,none,0,1,0,1,0
29,28,null,Point,none,150,90,1,1,1,red,none,0,1,0,1,0
30,29,null,Point,none,90,120,1,1,1,red,none,0,1,0,1,0
31,30,null,Point,none,90,106,1,1,1,red,none,0,1,0,1,0
32,31,null,Point,none,107,84,1,1,1,red,none,0,1,0,1,0
33,32,null,Point,none,156,103,1,1,1,red,none,0,1,0,1,0
34,33,null,Point,none,168,119,1,1,1,red,none,0,1,0,1,0
35,34,null,Point,none,144,143,1,1,1,red,none,0,1,0,1,0
36,35,null,Point,none,129,142,1,1,1,red,none,0,1,0,1,0
37,36,null,Point,none,89,98,1,1,1,red,none,0,1,0,1,0
38,37,null,Point,none,124,72,1,1,1,red,none,0,1,0,1,0
39,38,null,Point,none,136,82,1,1,1,red,none,0,1,0,1,0
40,39,null,Point,none,161,125,1,1,1,red,none,0,1,0,1,0
41,40,null,Point,none,121,148,1,1,1,red,none,0,1,0,1,0
42,41,null,Point,none,102,149,1,1,1,red,none,0,1,0,1,0
43,42,null,Point,none,95,145,1,1,1,red,none,0,1,0,1,0
44,43,null,Point,none,94,85,1,1,1,red,none,0,1,0,1,0
45,44,null,Point,none,100,79,1,1,1,red,none,0,1,0,1,0
46,45,null,Point,none,114,70,1,1,1,red,none,0,1,0,1,0
47,46,null,Point,none,152,82,1,1,1,red,none,0,1,0,1,0
48,47,null,Point,none,157,90,1,1,1,red,none,0,1,0,1,0
49,48,null,Point,none,163,105,1,1,1,red,none,0,1,0,1,0
50,49,null,Point,none,158,138,1,1,1,red,none,0,1,0,1,0
51,50,null,Point,none,87,133,1,1,1,red,none,0,1,0,1,0
52,51,null,Point,none,81,118,1,1,1,red,none,0,1,0,1,0
