 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
350,349,null,Point,none,155,63,1,1,1,red,none,0,17,0,17,0
351,350,null,Point,none,179,68,1,1,1,red,none,0,17,0,17,0
352,351,null,Point,none,201,113,1,1,1,red,none,0,18,0,18,0
353,352,null,Point,none,183,159,1,1,1,red,none,0,18,0,18,0
354,353,null,Point,none,149,167,1,1,1,red,none,0,18,0,18,0
355,354,null,Point,none,147,173,1,1,1,red,none,0,17,0,17,0
356,355,null,Point,none,117,176,1,1,1,red,none,0,18,0,18,0
357,356,null,Point,none,84,174,1,1,1,red,none,0,16,0,16,0
358,357,null,Point,none,78,167,1,1,1,red,none,0,17,0,17,0
359,358,null,Point,none,71,161,1,1,1,red,none,0,17,0,17,0
360,359,null,Point,none,63,149,1,1,1,red,none,0,16,0,16,0
361,360,null,Point,none,56,110,1,1,1,red,none,0,18,0,18,0
362,361,null,Point,none,54,94,1,1,1,red,none,0,18,0,18,0
363,362,null,Point,none,141,70,1,1,1,red,none,0,18,0,18,0
364,363,null,Point,none,185,84,1,1,1,red,none,0,18,0,18,0
365,364,null,Point,none,203,136,1,1,1,red,none,0,17,0,17,0
366,365,null,Point,none,193,148,1,1,1,red,none,0,18,0,18,0
367,366,null,Point,none,166,161,1,1,1,red,none,0,18,0,18,0
368,367,null,Point,none,62,137,1,1,1,red,none,0,17,0,17,0
369,368,null,Point,none,61,90,1,1,1,red,none,0,18,0,18,0
370,369,null,Point,none,80,73,1,1,1,red,none,0,18,0,18,0
371,370,null,Point,none,87,71,1,1,1,red,none,0,18,0,18,0
372,371,null,Point,none,164,70,1,1,1,red,none,0,18,0,18,0
373,372,null,Point,none,185,98,1,1,1,red,none,0,19,0,19,0
374,373,null,Point,none,194,126,1,1,1,red,none,0,19,0,19,0
375,374,null,Point,none,101,174,1,1,1,red,none,0,18,0,18,0
376,375,null,Point,none,96,177,1,1,1,red,none,0,17,0,17,0
377,376,null,Point,none,63,124,1,1,1,red,none,0,18,0,18,0
378,377,null,Point,none,59,117,1,1,1,red,none,0,18,0,18,0
379,378,null,Point,none,168,147,1,1,1,red,none,0,19,0,19,0
