 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,130,109,1,1,1,red,none,0,1,0,1,0
2,1,null,Point,none,132,116,1,1,1,red,none,0,1,0,1,0
3,2,null,Point,none,125,115,1,1,1,red,none,0,1,0,1,0
4,3,null,Point,none,146,110,1,1,1,red,none,0,1,0,1,0
5,4,null,Point,none,146,117,1,1,1,red,none,0,1,0,1,0
6,5,null,Point,none,123,107,1,1,1,red,none,0,1,0,1,0
7,6,null,Point,none,131,94,1,1,1,red,none,0,1,0,1,0
8,7,null,Point,none,139,126,1,1,1,red,none,0,1,0,1,0
9,8,null,Point,none,124,127,1,1,1,red,none,0,1,0,1,0
10,9,null,Point,none,139,96,1,1,1,red,none,0,1,0,1,0
11,10,null,Point,none,153,113,1,1,1,red,none,0,1,0,1,0
12,11,null,Point,none,112,118,1,1,1,red,none,0,1,0,1,0
13,12,null,Point,none,152,105,1,1,1,red,none,0,1,0,1,0
14,13,null,Point,none,147,126,1,1,1,red,none,0,1,0,1,0
15,14,null,Point,none,144,133,1,1,1,red,none,0,1,0,1,0
16,15,null,Point,none,138,140,1,1,1,red,none,0,1,0,1,0
17,16,null,Point,none,107,102,1,1,1,red,none,0,1,0,1,0
18,17,null,Point,none,114,96,1,1,1,red,none,0,1,0,1,0
19,18,null,Point,none,129,86,1,1,1,red,none,0,1,0,1,0
20,19,null,Point,none,118,141,1,1,1,red,none,0,1,0,1,0
21,20,null,Point,none,106,125,1,1,1,red,none,0,1,0,1,0
22,21,null,Point,none,153,89,1,1,1,red,none,0,1,0,1,0
23,22,null,Point,none,160,110,1,1,1,red,none,0,1,0,1,0
24,23,null,Point,none,151,134,1,1,1,red,none,0,1,0,1,0
25,24,null,Point,none,98,123,1,1,1,red,none,0,1,0,1,0
26,25,null,Point,none,107,90,1,1,1,red,none,0,1,0,1,0
27,26,null,Point,none,127,78,1,1,1,red,none,0,1,0,1,0
28,27,null,Point,none,159,95,1,1,1,red,none,0,1,0,1,0
29,28,null,Point,none,163,125,1,1,1,red,none,0,1,0,1,0
30,29,null,Point,none,156,140,1,1,1,red,none,0,1,0,1,0
31,30,null,Point,none,143,148,1,1,1,red,none,0,1,0,1,0
32,31,null,Point,none,129,150,1,1,1,red,none,0,1,0,1,0
33,32,null,Point,none,111,136,1,1,1,red,none,0,1,0,1,0
34,33,null,Point,none,95,110,1,1,1,red,none,0,1,0,1,0
35,34,null,Point,none,115,88,1,1,1,red,none,0,1,0,1,0
36,35,null,Point,none,141,74,1,1,1,red,none,0,1,0,1,0
37,36,null,Point,none,123,146,1,1,1,red,none,0,1,0,1,0
38,37,null,Point,none,104,133,1,1,1,red,none,0,1,0,1,0
39,38,null,Point,none,92,98,1,1,1,red,none,0,1,0,1,0
40,39,null,Point,none,114,80,1,1,1,red,none,0,1,0,1,0
41,40,null,Point,none,154,77,1,1,1,red,none,0,1,0,1,0
42,41,null,Point,none,167,82,1,1,1,red,none,0,1,0,1,0
43,42,null,Point,none,172,103,1,1,1,red,none,0,1,0,1,0
44,43,null,Point,none,175,115,1,1,1,red,none,0,1,0,1,0
45,44,null,Point,none,170,128,1,1,1,red,none,0,1,0,1,0
46,45,null,Point,none,159,147,1,1,1,red,none,0,1,0,1,0
47,46,null,Point,none,132,157,1,1,1,red,none,0,1,0,1,0
