 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
698,697,null,Point,none,53,182,1,1,1,red,none,0,7,0,7,0
699,698,null,Point,none,207,57,1,1,1,red,none,0,7,0,7,0
700,699,null,Point,none,91,202,1,1,1,red,none,0,7,0,7,0
701,700,null,Point,none,167,44,1,1,1,red,none,0,9,0,9,0
702,701,null,Point,none,125,204,1,1,1,red,none,0,9,0,9,0
703,702,null,Point,none,50,97,1,1,1,red,none,0,7,0,7,0
704,703,null,Point,none,168,194,1,1,1,red,none,0,6,0,6,0
705,704,null,Point,none,180,46,1,1,1,red,none,0,9,0,9,0
706,705,null,Point,none,205,168,1,1,1,red,none,0,7,0,7,0
707,706,null,Point,none,51,181,1,1,1,red,none,0,10,0,10,0
708,707,null,Point,none,239,95,1,1,1,red,none,0,6,0,6,0
709,708,null,Point,none,181,189,1,1,1,red,none,0,6,0,6,0
710,709,null,Point,none,197,181,1,1,1,red,none,0,8,0,8,0
711,710,null,Point,none,126,47,1,1,1,red,none,0,6,0,6,0
712,711,null,Point,none,134,47,1,1,1,red,none,0,11,0,11,0
713,712,null,Point,none,237,105,1,1,1,red,none,0,9,0,9,0
714,713,null,Point,none,237,110,1,1,1,red,none,0,7,0,7,0
715,714,null,Point,none,62,82,1,1,1,red,none,0,9,0,9,0
716,715,null,Point,none,35,136,1,1,1,red,none,0,7,0,7,0
717,716,null,Point,none,36,130,1,1,1,red,none,0,9,0,9,0
718,717,null,Point,none,66,195,1,1,1,red,none,0,10,0,10,0
719,718,null,Point,none,46,168,1,1,1,red,none,0,10,0,10,0
720,719,null,Point,none,40,156,1,1,1,red,none,0,10,0,10,0
721,720,null,Point,none,234,119,1,1,1,red,none,0,9,0,9,0
722,721,null,Point,none,86,202,1,1,1,red,none,0,9,0,9,0
723,722,null,Point,none,210,156,1,1,1,red,none,0,10,0,10,0
724,723,null,Point,none,161,196,1,1,1,red,none,0,7,0,7,0
725,724,null,Point,none,159,44,1,1,1,red,none,0,10,0,10,0
726,725,null,Point,none,131,203,1,1,1,red,none,0,11,0,11,0
727,726,null,Point,none,80,200,1,1,1,red,none,0,11,0,11,0
728,727,null,Point,none,236,83,1,1,1,red,none,0,9,0,9,0
729,728,null,Point,none,210,60,1,1,1,red,none,0,10,0,10,0
730,729,null,Point,none,66,80,1,1,1,red,none,0,11,0,11,0
731,730,null,Point,none,45,108,1,1,1,red,none,0,9,0,9,0
732,731,null,Point,none,43,112,1,1,1,red,none,0,11,0,11,0
733,732,null,Point,none,200,178,1,1,1,red,none,0,11,0,11,0
734,733,null,Point,none,203,172,1,1,1,red,none,0,12,0,12,0
735,734,null,Point,none,168,195,1,1,1,red,none,0,11,0,11,0
736,735,null,Point,none,61,86,1,1,1,red,none,0,12,0,12,0
