 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,4.556,21.023,459,213,1015339,2212.068,989.060,1916.000,1054,4095,178.046,138.627,6.477,1.005,0.222,0.969,178.108,138.648,6.447,174,133,2,9,11,10
2,6.740,33.920,679,371,1207368,1778.156,646.768,1605.000,1050,4095,160.739,144.015,6.446,1.285,0.449,1.220,160.640,143.933,6.451,149,140,3,24,10,8
3,2.283,14.282,230,137,416958,1812.861,740.216,1491.500,1055,4095,107.639,163.717,7.083,0.802,0.198,0.820,107.403,163.839,7.098,104,161,3,10,7,8
4,0.913,7.938,92,66,148655,1615.815,430.665,1487.500,1050,2737,144.467,147.685,6.663,0.582,0.162,0.570,144.443,147.679,6.624,141,146,4,7,5,6
5,0.476,4.941,48,36,63569,1324.354,204.942,1277.000,1055,1755,128.417,153.333,7.479,0.465,0.153,0.472,128.389,153.278,7.470,127,152,5,4,4,6
6,0.506,5.312,51,40,73808,1447.216,278.534,1356.000,1069,1960,75.412,127.216,8.686,0.495,0.185,0.481,75.358,127.181,8.685,74,126,6,4,4,6
7,1.549,10.604,156,95,311886,1999.269,882.026,1685.000,1053,4095,166.122,80.744,12.340,0.732,0.241,0.660,166.158,80.708,12.355,164,78,8,6,6,9
8,1.390,9.992,140,90,274880,1963.429,869.043,1617.000,1050,4095,121.379,138.029,12.336,0.705,0.238,0.628,121.394,138.068,12.320,119,136,8,6,5,9
9,7.822,40.164,788,406,1617571,2052.755,914.418,1711.000,1050,4095,143.316,103.739,13.099,1.355,0.465,1.294,142.829,104.176,13.179,137,93,9,18,20,9
10,0.268,3.258,27,25,42002,1555.630,401.021,1405.000,1064,2207,174.704,72.000,15.667,0.371,0.124,0.404,174.694,72.016,15.812,173,71,14,4,3,4
