 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,3.107,20.173,313,196,507804,1622.377,501.125,1488.000,1050,3206,108.000,77.796,8.249,0.910,0.270,0.906,107.767,77.588,8.244,102,74,5,15,10,7
2,2.204,13.082,222,129,413778,1863.865,667.254,1667.500,1063,3873,161.541,129.712,9.086,0.776,0.169,0.763,161.608,129.841,9.056,159,126,6,7,8,7
3,2.432,14.368,245,133,494184,2017.078,884.426,1663.000,1051,4095,102.057,152.167,10.567,0.830,0.238,0.768,102.035,152.144,10.568,99,149,6,7,7,10
4,0.377,4.068,38,31,51335,1350.921,223.143,1312.000,1071,1787,81.974,145.974,9.395,0.400,0.116,0.411,82.002,145.990,9.443,80,145,7,5,3,5
5,1.687,13.604,170,126,274571,1615.124,443.090,1518.500,1054,3190,71.018,159.865,10.835,0.795,0.316,0.785,71.078,159.845,10.874,66,157,7,10,6,9
6,0.377,4.373,38,32,54491,1433.974,339.446,1372.000,1054,2169,38.105,138.789,9.974,0.448,0.178,0.381,38.061,138.820,10.080,37,137,8,4,4,6
7,0.347,4.591,35,29,53041,1515.457,386.397,1584.000,1065,2503,62.771,142.200,10.514,0.441,0.168,0.469,62.831,142.158,10.471,61,141,8,4,4,6
8,0.437,4.918,44,36,67405,1531.932,417.778,1474.500,1061,2531,45.795,148.250,10.909,0.487,0.180,0.441,45.835,148.219,10.834,44,147,8,4,4,6
9,1.211,9.314,122,83,208726,1710.869,619.651,1534.500,1053,3635,96.041,165.164,12.492,0.687,0.241,0.621,96.033,165.109,12.527,94,163,9,5,6,8
10,0.328,4.174,33,33,53909,1633.606,318.602,1654.000,1067,2065,57.000,170.818,11.970,0.457,0.211,0.388,56.973,170.813,12.072,56,170,9,3,3,7
11,0.139,2.295,14,13,18451,1317.929,185.346,1298.000,1052,1632,93.000,179.143,14.786,0.303,0.124,0.299,92.984,179.145,14.730,92,178,13,3,3,4
