 ,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,IntDen,RawIntDen
1,0.018,46.516,16.184,26,115,0.276,0.082,0,0.826,528795.000
2,0.018,164.544,4.242,125,201,0.276,0.082,0,2.923,1870531.000
3,0.018,60.173,22.024,21,116,0.276,0.082,0,1.069,684052.000
4,0.018,164.384,4.218,111,187,0.276,0.082,0,2.920,1868719.000
5,0.018,87.027,14.950,49,160,0.276,0.082,0,1.546,989326.000
6,0.018,164.312,4.698,97,186,0.276,0.082,0,2.919,1867896.000
7,0.018,59.686,19.834,33,146,0.276,0.082,0,1.060,678505.000
8,0.018,163.657,4.961,126,185,0.276,0.082,0,2.907,1860454.000
