measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2754.5781,384.9362,1930.8438,3367.8438,6049.4719,182831
microtubule,2,3,3153.9219,692.3553,1634.8438,3992.8438,6895.1294,208389
microtubule,3,3,2255.0781,755.1575,821.8438,3664.8438,4991.7217,150863
microtubule,1,1,41.0312,14.7258,7.125,78.125,296.268,8954
microtubule,2,1,37.6875,16.1784,5.125,76.125,289.1872,8740
microtubule,3,1,29.4844,9.5225,10.125,51.125,271.8161,8215
microtubule,1,2,1144.6094,50.9368,1048.9062,1256.9062,2637.9233,79725
microtubule,2,2,888.6719,65.7175,750.9062,1013.9062,2095.9454,63345
microtubule,3,2,891.5156,56.3936,694.9062,1034.9062,2101.9674,63527
cytoplasm,1,3,161.9219,35.763,94.8438,274.8438,559.2166,16901
cytoplasm,2,3,296.2344,81.3448,129.8438,500.8438,843.6391,25497
cytoplasm,3,3,197.1875,29.1255,134.8438,271.8438,633.8957,19158
cytoplasm,1,1,15.3438,9.7695,1.125,43.125,241.8717,7310
cytoplasm,2,1,22.3594,9.2492,4.125,43.125,256.7281,7759
cytoplasm,3,1,27.9375,11.9402,5.125,53.125,268.5404,8116
cytoplasm,1,2,654.0625,60.167,491.9062,764.9062,1599.1324,48330
cytoplasm,2,2,512.1406,66.0997,390.9062,658.9062,1298.5961,39247
cytoplasm,3,2,566.0469,55.9109,452.9062,688.9062,1412.7489,42697
