measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,3013.8594,811.8142,1361.2969,3989.2969,6606.0414,199652
microtubule,2,3,3384.6406,656.4391,1748.2969,3989.2969,7391.2144,223382
microtubule,3,3,2346.5312,422.6174,1227.2969,2918.2969,5192.8954,156943
microtubule,1,1,35.6562,13.8535,9.6094,70.6094,285.9777,8643
microtubule,2,1,165.9375,112.8433,17.6094,476.6094,561.8636,16981
microtubule,3,1,134.0312,184.2637,23.6094,898.6094,494.2983,14939
microtubule,1,2,303.6719,26.7181,252.7969,358.7969,859.4882,25976
microtubule,2,2,315.8438,33.5717,251.7969,388.7969,885.2636,26755
microtubule,3,2,334.7188,28.8,273.7969,414.7969,925.2336,27963
cytoplasm,1,3,227.9219,42.8773,169.2969,357.2969,706.4903,21352
cytoplasm,2,3,420.5156,127.52,195.2969,675.2969,1114.3303,33678
cytoplasm,3,3,187.6875,30.3825,126.2969,263.2969,621.2892,18777
cytoplasm,1,1,30.0312,17.9857,6.6094,90.6094,274.0661,8283
cytoplasm,2,1,32.6875,12.1959,9.6094,59.6094,279.691,8453
cytoplasm,3,1,25.8906,10.3869,5.6094,49.6094,265.2978,8018
cytoplasm,1,2,237.9062,23.444,179.7969,285.7969,720.2217,21767
cytoplasm,2,2,253.6562,26.9632,195.7969,315.7969,753.5742,22775
cytoplasm,3,2,204.1406,23.2633,140.7969,248.7969,648.719,19606
