measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,3697.2188,267.9434,2893.25,3863.25,8320.0546,251454
microtubule,2,3,3254.2188,716.0561,1789.25,3863.25,7381.9499,223102
microtubule,3,3,3189.7969,467.2068,2228.25,3863.25,7245.529,218979
microtubule,1,1,35.8125,11.7365,13.2812,70.2812,287.0034,8674
microtubule,2,1,36.0781,14.6734,10.2812,74.2812,287.5659,8691
microtubule,3,1,26.75,11.5373,-1.7188,58.2812,267.8125,8094
microtubule,1,2,239.375,26.6809,179.8594,300.8594,725.3172,21921
microtubule,2,2,241.4844,29.2371,185.8594,318.8594,729.7841,22056
microtubule,3,2,239.8281,23.8527,198.8594,291.8594,726.2768,21950
cytoplasm,1,3,75.5625,45.4263,-11.75,193.25,650.7705,19668
cytoplasm,2,3,310.0156,89.4343,113.25,486.25,1147.2526,34673
cytoplasm,3,3,128.7656,37.8841,51.25,239.25,763.4343,23073
cytoplasm,1,1,20.3281,10.7281,0.2812,51.2812,254.2134,7683
cytoplasm,2,1,19.7656,10.0869,3.2812,46.2812,253.0223,7647
cytoplasm,3,1,24.375,9.382,6.2812,49.2812,262.7831,7942
cytoplasm,1,2,123.7188,18.0219,90.8594,164.8594,480.4015,14519
cytoplasm,2,2,134.9844,20.1632,87.8594,183.8594,504.2578,15240
cytoplasm,3,2,163.1406,19.6368,117.8594,206.8594,563.8819,17042
