measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,3958.9531,87.2322,3362.5,3977.5,8632.3702,260893
microtubule,2,3,3974.875,21,3809.5,3977.5,8666.0866,261912
microtubule,3,3,3749.1094,439.9415,2313.5,3977.5,8188.0013,247463
microtubule,1,1,30.4688,10.1855,10.4375,52.4375,277.4741,8386
microtubule,2,1,38.9062,12.6378,11.4375,73.4375,295.3415,8926
microtubule,3,1,27.5938,14.1682,3.4375,80.4375,271.386,8202
microtubule,1,2,1646.3438,65.627,1432.7188,1800.7188,3726.2134,112616
microtubule,2,2,1685.4688,84.4831,1402.7188,1837.7188,3809.0652,115120
microtubule,3,2,1709.6406,115.6364,1481.7188,1913.7188,3860.252,116667
cytoplasm,1,3,468.5,66.3452,316.5,621.5,1240.9241,37504
cytoplasm,2,3,557.4219,108.1087,352.5,796.5,1429.2267,43195
cytoplasm,3,3,623.1875,109.6179,433.5,928.5,1568.4931,47404
cytoplasm,1,1,41.5156,17.1356,11.4375,79.4375,300.8672,9093
cytoplasm,2,1,38.2969,15.221,3.4375,80.4375,294.0511,8887
cytoplasm,3,1,30.9844,11.8347,8.4375,64.4375,278.566,8419
cytoplasm,1,2,1283.4688,81.4681,1105.7188,1447.7188,2957.7828,89392
cytoplasm,2,2,1480.5156,67.1951,1324.7188,1641.7188,3375.0528,102003
cytoplasm,3,2,1487.0781,92.4048,1291.7188,1706.7188,3388.9497,102423
