measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2761.7188,493.6118,1713.7344,3611.7344,6066.9422,183359
microtubule,2,3,2411.5,422.8256,1607.7344,3244.7344,5325.3127,160945
microtubule,3,3,2903.625,734.7398,1403.7344,3991.7344,6367.4454,192441
microtubule,1,1,24.625,8.8899,5.6719,47.6719,264.603,7997
microtubule,2,1,27.0469,10.8445,5.6719,53.6719,269.7316,8152
microtubule,3,1,38.8438,17.9775,11.6719,78.6719,294.7129,8907
microtubule,1,2,564.7188,45.4727,454.5469,644.5469,1412.8151,42699
microtubule,2,2,623.5938,46.8047,515.5469,719.5469,1537.4899,46467
microtubule,3,2,538.5625,45.957,439.5469,637.5469,1357.4262,41025
cytoplasm,1,3,502.3906,52.993,411.7344,656.7344,1282.5485,38762
cytoplasm,2,3,313.3125,34.8032,253.7344,408.7344,882.1533,26661
cytoplasm,3,3,544.5312,47.2481,402.7344,644.7344,1371.7863,41459
cytoplasm,1,1,40,13.7229,12.6719,76.6719,297.1614,8981
cytoplasm,2,1,50.2031,16.2079,21.6719,92.6719,318.7677,9634
cytoplasm,3,1,50.4688,14.5996,17.6719,82.6719,319.3302,9651
cytoplasm,1,2,903.875,54.7415,801.5469,1059.5469,2131.0185,64405
cytoplasm,2,2,943.4219,53.315,810.5469,1089.5469,2214.7636,66936
cytoplasm,3,2,796.6562,50.5177,686.5469,924.5469,1903.9701,57543
