measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2480.0938,832.9275,938.0781,3986.0781,5482.5459,165697
microtubule,2,3,3096.7344,449.2639,1976.0781,3883.0781,6788.3551,205162
microtubule,3,3,2773.0156,604.7104,1662.0781,3781.0781,6102.8425,184444
microtubule,1,1,24.7812,11.9861,-0.5,55.5,263.1802,7954
microtubule,2,1,68.0312,90.9537,17.5,488.5,354.7672,10722
microtubule,3,1,37.2969,15.063,11.5,83.5,289.6835,8755
microtubule,1,2,3980.6094,20.4951,3854.2344,3984.2344,8663.969,261848
microtubule,2,2,3984.2344,0,3984.2344,3984.2344,8671.6454,262080
microtubule,3,2,3972.9219,47.3175,3735.2344,3984.2344,8647.6898,261356
cytoplasm,1,3,370.625,52.1143,277.0781,534.0781,1015.4971,30691
cytoplasm,2,3,591.6719,84.3405,428.0781,779.0781,1483.5899,44838
cytoplasm,3,3,916.2656,211.9993,584.0781,1454.0781,2170.9554,65612
cytoplasm,1,1,29.2969,11.0801,2.5,51.5,272.7426,8243
cytoplasm,2,1,47.9688,29.1901,5.5,143.5,312.2825,9438
cytoplasm,3,1,54.5938,21.1403,18.5,111.5,326.3117,9862
cytoplasm,1,2,3976.8906,28.6529,3829.2344,3984.2344,8656.0941,261610
cytoplasm,2,2,3982,11.1594,3908.2344,3984.2344,8666.9138,261937
cytoplasm,3,2,3960.4375,64.9442,3675.2344,3984.2344,8621.2527,260557
