 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,256.189,47.345,168,401,21.198,14.794,1.435,1.435,527.741,43296.000
2,2.060,328.994,88.710,206,613,21.198,14.794,1.435,1.435,677.716,55600.000
3,2.060,3048.172,282.389,2259,3591,21.198,14.794,1.435,1.435,6279.121,515141.000
4,2.060,255.852,38.590,174,394,21.639,18.548,1.435,1.435,527.046,43239.000
5,2.060,345.178,101.963,185,771,21.639,18.548,1.435,1.435,711.053,58335.000
6,2.060,3329.586,208.701,2958,3906,21.639,18.548,1.435,1.435,6858.824,562700.000
7,2.060,277.260,39.817,208,411,14.905,15.677,1.435,1.435,571.146,46857.000
8,2.060,336.988,108.606,194,775,14.905,15.677,1.435,1.435,694.183,56951.000
9,2.060,3177.053,179.947,2723,3692,14.905,15.677,1.435,1.435,6544.613,536922.000
10,2.060,153.746,19.678,119,204,11.151,8.943,1.435,1.435,316.710,25983.000
11,2.060,221.550,41.378,157,382,11.151,8.943,1.435,1.435,456.385,37442.000
12,2.060,2170.704,191.699,1755,2661,11.151,8.943,1.435,1.435,4471.571,366849.000
13,2.060,167.947,26.920,121,243,14.021,25.393,1.435,1.435,345.964,28383.000
14,2.060,230.485,69.223,150,482,14.021,25.393,1.435,1.435,474.791,38952.000
15,2.060,2670.834,215.592,2008,3122,14.021,25.393,1.435,1.435,5501.821,451371.000
16,2.060,157.533,19.326,114,222,25.945,9.053,1.435,1.435,324.511,26623.000
17,2.060,284.781,60.660,158,455,25.945,9.053,1.435,1.435,586.639,48128.000
18,2.060,2497.675,302.016,1929,3186,25.945,9.053,1.435,1.435,5145.118,422107.000
19,2.060,106.905,5.264,92,120,34.446,23.627,1.435,1.435,220.221,18067.000
20,2.060,110.521,5.585,97,126,34.446,23.627,1.435,1.435,227.669,18678.000
21,2.060,379.811,42.247,294,495,34.446,23.627,1.435,1.435,782.396,64188.000
