 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,228.166,40.035,147,336,20.535,14.132,1.435,1.435,470.013,38560.000
2,2.060,312.988,79.567,183,568,20.535,14.132,1.435,1.435,644.744,52895.000
3,2.060,586.018,56.548,432,736,20.535,14.132,1.435,1.435,1207.175,99037.000
4,2.060,253.728,28.368,183,320,22.964,16.009,1.435,1.435,522.670,42880.000
5,2.060,325.278,82.456,188,554,22.964,16.009,1.435,1.435,670.061,54972.000
6,2.060,626.675,52.374,524,776,22.964,16.009,1.435,1.435,1290.927,105908.000
7,2.060,289.970,38.212,213,404,17.886,18.548,1.435,1.435,597.328,49005.000
8,2.060,356.734,83.913,223,668,17.886,18.548,1.435,1.435,734.858,60288.000
9,2.060,646.408,40.326,557,749,17.886,18.548,1.435,1.435,1331.577,109243.000
10,2.060,190.479,24.762,136,262,13.028,17.775,1.435,1.435,392.380,32191.000
11,2.060,254.497,57.228,167,471,13.028,17.775,1.435,1.435,524.255,43010.000
12,2.060,575.260,60.920,414,745,13.028,17.775,1.435,1.435,1185.015,97219.000
13,2.060,168.651,18.115,131,225,18.658,24.289,1.435,1.435,347.415,28502.000
14,2.060,293.462,71.173,181,500,18.658,24.289,1.435,1.435,604.520,49595.000
15,2.060,463.533,44.323,350,584,18.658,24.289,1.435,1.435,954.860,78337.000
16,2.060,170.604,28.537,125,284,18.327,11.151,1.435,1.435,351.437,28832.000
17,2.060,283.817,67.071,176,459,18.327,11.151,1.435,1.435,584.652,47965.000
18,2.060,571.598,38.887,460,681,18.327,11.151,1.435,1.435,1177.470,96600.000
19,2.060,108.473,5.610,93,123,24.951,6.514,1.435,1.435,223.451,18332.000
20,2.060,119.041,6.276,103,135,24.951,6.514,1.435,1.435,245.221,20118.000
21,2.060,135.420,7.837,119,157,24.951,6.514,1.435,1.435,278.960,22886.000
