 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,267.728,40.441,179,355,16.119,13.911,1.435,1.435,551.509,45246.000
2,2.060,355.609,95.190,189,662,16.119,13.911,1.435,1.435,732.542,60098.000
3,2.060,2008.053,127.792,1612,2278,16.119,13.911,1.435,1.435,4136.516,339361.000
4,2.060,269.266,38.499,196,365,20.977,15.788,1.435,1.435,554.679,45506.000
5,2.060,321.213,95.751,158,663,20.977,15.788,1.435,1.435,661.687,54285.000
6,2.060,2063.769,164.629,1701,2414,20.977,15.788,1.435,1.435,4251.289,348777.000
7,2.060,280.018,41.310,204,413,16.340,19.873,1.435,1.435,576.826,47323.000
8,2.060,339.663,104.629,176,747,16.340,19.873,1.435,1.435,699.693,57403.000
9,2.060,2001.722,165.355,1491,2318,16.340,19.873,1.435,1.435,4123.474,338291.000
10,2.060,197.118,25.158,152,276,13.249,10.930,1.435,1.435,406.057,33313.000
11,2.060,286.562,70.166,188,542,13.249,10.930,1.435,1.435,590.307,48429.000
12,2.060,1682.970,173.187,897,2043,13.249,10.930,1.435,1.435,3466.857,284422.000
13,2.060,199.166,25.554,146,269,24.620,15.346,1.435,1.435,410.274,33659.000
14,2.060,293.580,85.405,191,670,24.620,15.346,1.435,1.435,604.764,49615.000
15,2.060,1551.006,126.154,1309,1976,24.620,15.346,1.435,1.435,3195.015,262120.000
16,2.060,175.621,22.874,124,239,21.308,24.289,1.435,1.435,361.773,29680.000
17,2.060,303.692,79.034,170,759,21.308,24.289,1.435,1.435,625.595,51324.000
18,2.060,1501.302,151.283,898,1913,21.308,24.289,1.435,1.435,3092.626,253720.000
19,2.060,106.077,5.185,96,120,20.425,35.771,1.435,1.435,218.515,17927.000
20,2.060,111.272,6.136,96,131,20.425,35.771,1.435,1.435,229.217,18805.000
21,2.060,102.976,4.455,92,116,20.425,35.771,1.435,1.435,212.127,17403.000
