 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,301.077,53.158,206,480,20.535,15.125,1.435,1.435,620.207,50882
2,2.060,565.592,179.705,273,1416,20.535,15.125,1.435,1.435,1165.098,95585
3,2.060,229.521,15.306,188,274,20.535,15.125,1.435,1.435,472.804,38789
4,2.060,288.680,44.842,183,420,20.866,19.983,1.435,1.435,594.671,48787
5,2.060,592.633,212.055,283,1408,20.866,19.983,1.435,1.435,1220.802,100155
6,2.060,233.272,17.827,194,288,20.866,19.983,1.435,1.435,480.532,39423
7,2.060,341.852,53.086,250,497,14.132,16.892,1.435,1.435,704.203,57773
8,2.060,567.686,117.712,295,916,14.132,16.892,1.435,1.435,1169.413,95939
9,2.060,233.917,18.984,181,284,14.132,16.892,1.435,1.435,481.861,39532
10,2.060,169.491,19.247,133,238,12.365,12.255,1.435,1.435,349.145,28644
11,2.060,307.953,74.184,199,522,12.365,12.255,1.435,1.435,634.371,52044
12,2.060,219.414,17.781,172,267,12.365,12.255,1.435,1.435,451.985,37081
13,2.060,174.953,20.287,127,244,13.911,26.387,1.435,1.435,360.396,29567
14,2.060,278.811,57.874,188,478,13.911,26.387,1.435,1.435,574.340,47119
15,2.060,216.692,22.243,166,294,13.911,26.387,1.435,1.435,446.378,36621
16,2.060,189.485,29.753,139,280,22.522,10.930,1.435,1.435,390.333,32023
17,2.060,334.047,137.006,194,1010,22.522,10.930,1.435,1.435,688.125,56454
18,2.060,215.479,21.146,155,288,22.522,10.930,1.435,1.435,443.879,36416
19,2.060,105.976,4.868,95,118,25.724,6.624,1.435,1.435,218.307,17910
20,2.060,114.870,6.015,103,135,25.724,6.624,1.435,1.435,236.628,19413
21,2.060,109.320,5.598,98,129,25.724,6.624,1.435,1.435,225.194,18475
