 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,395.249,75.552,254,608,17.223,21.198,1.435,1.435,814.197,66797.000
2,2.060,506.509,130.107,268,883,17.223,21.198,1.435,1.435,1043.390,85600.000
3,2.060,202.639,25.322,139,265,17.223,21.198,1.435,1.435,417.429,34246.000
4,2.060,392.178,71.257,248,600,20.314,20.977,1.435,1.435,807.871,66278.000
5,2.060,645.047,205.799,276,1153,20.314,20.977,1.435,1.435,1328.774,109013.000
6,2.060,208.639,25.343,156,275,20.314,20.977,1.435,1.435,429.789,35260.000
7,2.060,415.071,68.670,260,616,18.106,16.229,1.435,1.435,855.031,70147.000
8,2.060,676.130,176.418,311,1125,18.106,16.229,1.435,1.435,1392.803,114266.000
9,2.060,200.799,29.539,140,286,18.106,16.229,1.435,1.435,413.638,33935.000
10,2.060,172.343,23.728,131,235,24.289,13.580,1.435,1.435,355.021,29126.000
11,2.060,346.408,120.931,181,670,24.289,13.580,1.435,1.435,713.588,58543.000
12,2.060,193.473,20.050,140,271,24.289,13.580,1.435,1.435,398.548,32697.000
13,2.060,171.450,24.780,133,260,12.365,15.125,1.435,1.435,353.180,28975.000
14,2.060,239.598,77.874,141,487,12.365,15.125,1.435,1.435,493.562,40492.000
15,2.060,201.249,25.751,149,284,12.365,15.125,1.435,1.435,414.565,34011.000
16,2.060,180.509,32.115,130,276,12.807,24.951,1.435,1.435,371.842,30506.000
17,2.060,245.124,83.639,153,618,12.807,24.951,1.435,1.435,504.947,41426.000
18,2.060,215.278,28.094,153,292,12.807,24.951,1.435,1.435,443.465,36382.000
19,2.060,106.124,5.050,95,124,35.550,28.484,1.435,1.435,218.612,17935.000
20,2.060,130.290,14.483,106,169,35.550,28.484,1.435,1.435,268.392,22019.000
21,2.060,107.231,5.633,93,123,35.550,28.484,1.435,1.435,220.891,18122.000
