 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,250.391,37.847,184,347,16.450,15.898,1.435,1.435,515.795,42316.000
2,2.060,285.420,75.650,187,575,16.450,15.898,1.435,1.435,587.955,48236.000
3,2.060,206.284,15.647,170,252,16.450,15.898,1.435,1.435,424.938,34862.000
4,2.060,244.669,45.417,154,392,19.873,15.898,1.435,1.435,504.008,41349.000
5,2.060,242.609,64.261,168,489,19.873,15.898,1.435,1.435,499.767,41001.000
6,2.060,196.367,17.065,153,235,19.873,15.898,1.435,1.435,404.509,33186.000
7,2.060,223.698,32.866,155,318,19.210,21.970,1.435,1.435,460.810,37805.000
8,2.060,313.515,82.361,194,638,19.210,21.970,1.435,1.435,645.829,52984.000
9,2.060,212.941,17.850,175,271,19.210,21.970,1.435,1.435,438.650,35987.000
10,2.060,151.710,18.841,112,214,26.055,22.743,1.435,1.435,312.517,25639.000
11,2.060,331.012,99.345,202,736,26.055,22.743,1.435,1.435,681.872,55941.000
12,2.060,186.527,19.524,149,238,26.055,22.743,1.435,1.435,384.238,31523.000
13,2.060,178.207,20.955,136,230,13.690,24.179,1.435,1.435,367.100,30117.000
14,2.060,369.982,188.471,194,1066,13.690,24.179,1.435,1.435,762.150,62527.000
15,2.060,192.544,16.130,159,251,13.690,24.179,1.435,1.435,396.634,32540.000
16,2.060,158.036,23.449,114,223,10.820,15.236,1.435,1.435,325.547,26708.000
17,2.060,229.331,49.656,160,397,10.820,15.236,1.435,1.435,472.414,38757.000
18,2.060,180.959,15.644,148,230,10.820,15.236,1.435,1.435,372.768,30582.000
19,2.060,108.118,5.156,98,126,15.125,5.962,1.435,1.435,222.720,18272.000
20,2.060,121.296,7.014,107,151,15.125,5.962,1.435,1.435,249.865,20499.000
21,2.060,102.947,4.815,93,124,15.125,5.962,1.435,1.435,212.067,17398.000
