 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,365.740,51.011,241,522,21.970,16.340,1.435,1.435,753.410,61810.000
2,2.060,232.178,68.776,147,575,21.970,16.340,1.435,1.435,478.277,39238.000
3,2.060,483.030,34.042,356,579,21.970,16.340,1.435,1.435,995.023,81632.000
4,2.060,332.006,50.327,201,482,24.289,18.548,1.435,1.435,683.920,56109.000
5,2.060,257.633,67.483,148,516,24.289,18.548,1.435,1.435,530.715,43540.000
6,2.060,441.450,35.769,356,556,24.289,18.548,1.435,1.435,909.370,74605.000
7,2.060,337.402,56.619,236,531,19.100,22.081,1.435,1.435,695.036,57021.000
8,2.060,219.083,55.073,137,399,19.100,22.081,1.435,1.435,451.303,37025.000
9,2.060,496.728,36.353,408,583,19.100,22.081,1.435,1.435,1023.241,83947.000
10,2.060,177.527,20.769,132,243,11.372,18.106,1.435,1.435,365.698,30002.000
11,2.060,237.959,110.316,134,565,11.372,18.106,1.435,1.435,490.186,40215.000
12,2.060,401.314,71.835,292,573,11.372,18.106,1.435,1.435,826.691,67822.000
13,2.060,204.166,24.649,151,284,18.769,10.268,1.435,1.435,420.574,34504.000
14,2.060,163.834,18.017,132,227,18.769,10.268,1.435,1.435,337.493,27688.000
15,2.060,445.408,27.207,374,510,18.769,10.268,1.435,1.435,917.525,75274.000
16,2.060,168.834,18.033,128,215,11.592,23.737,1.435,1.435,347.792,28533.000
17,2.060,246.592,69.024,142,505,11.592,23.737,1.435,1.435,507.970,41674.000
18,2.060,294.059,53.754,189,422,11.592,23.737,1.435,1.435,605.751,49696.000
19,2.060,106.550,4.385,97,124,10.157,3.975,1.435,1.435,219.490,18007.000
20,2.060,113.651,6.677,97,142,10.157,3.975,1.435,1.435,234.117,19207.000
21,2.060,104.822,4.913,92,119,10.157,3.975,1.435,1.435,215.930,17715.000
