 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,319.077,47.619,217,439,21.198,18.548,1.435,1.435,657.287,53924
2,2.060,257.148,64.919,150,532,21.198,18.548,1.435,1.435,529.715,43458
3,2.060,4095.000,0.000,4095,4095,21.198,18.548,1.435,1.435,8435.549,692055
4,2.060,275.580,43.159,198,413,18.106,21.198,1.435,1.435,567.684,46573
5,2.060,261.420,68.398,168,497,18.106,21.198,1.435,1.435,538.516,44180
6,2.060,4095.000,0.000,4095,4095,18.106,21.198,1.435,1.435,8435.549,692055
7,2.060,331.308,54.873,222,488,15.898,15.236,1.435,1.435,682.482,55991
8,2.060,280.822,67.425,166,524,15.898,15.236,1.435,1.435,578.484,47459
9,2.060,4095.000,0.000,4095,4095,15.898,15.236,1.435,1.435,8435.549,692055
10,2.060,186.592,29.203,141,313,21.860,9.495,1.435,1.435,384.372,31534
11,2.060,171.805,24.512,129,258,21.860,9.495,1.435,1.435,353.911,29035
12,2.060,4073.266,78.901,3554,4095,21.860,9.495,1.435,1.435,8390.779,688382
13,2.060,162.763,23.915,124,247,28.484,17.775,1.435,1.435,335.286,27507
14,2.060,227.343,89.353,130,513,28.484,17.775,1.435,1.435,468.319,38421
15,2.060,3401.799,319.213,2613,4095,28.484,17.775,1.435,1.435,7007.581,574904
16,2.060,184.071,32.797,130,296,14.242,27.049,1.435,1.435,379.180,31108
17,2.060,164.450,27.646,123,294,14.242,27.049,1.435,1.435,338.760,27792
18,2.060,3790.237,306.741,3136,4095,14.242,27.049,1.435,1.435,7807.748,640550
19,2.060,104.704,5.097,92,121,32.790,6.955,1.435,1.435,215.687,17695
20,2.060,108.006,4.641,97,122,32.790,6.955,1.435,1.435,222.488,18253
21,2.060,127.201,8.464,104,146,32.790,6.955,1.435,1.435,262.030,21497
