 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,216.172,37.889,145,314,22.302,15.457,1.435,1.435,445.306,36533.000
2,2.060,293.533,122.961,152,776,22.302,15.457,1.435,1.435,604.666,49607.000
3,2.060,1125.438,255.829,559,1715,22.302,15.457,1.435,1.435,2318.361,190199.000
4,2.060,245.213,43.214,142,350,20.977,20.535,1.435,1.435,505.130,41441.000
5,2.060,354.491,97.123,197,660,20.977,20.535,1.435,1.435,730.239,59909.000
6,2.060,939.320,290.713,455,1619,20.977,20.535,1.435,1.435,1934.964,158745.000
7,2.060,237.444,41.498,140,346,17.333,17.996,1.435,1.435,489.125,40128.000
8,2.060,258.716,71.734,159,547,17.333,17.996,1.435,1.435,532.945,43723.000
9,2.060,350.308,178.453,114,943,17.333,17.996,1.435,1.435,721.621,59202.000
10,2.060,186.065,25.753,139,298,14.905,11.592,1.435,1.435,383.287,31445.000
11,2.060,223.888,51.791,146,402,14.905,11.592,1.435,1.435,461.200,37837.000
12,2.060,110.604,6.993,94,134,14.905,11.592,1.435,1.435,227.839,18692.000
13,2.060,200.580,26.572,147,281,11.924,21.087,1.435,1.435,413.187,33898.000
14,2.060,190.006,35.477,134,350,11.924,21.087,1.435,1.435,391.405,32111.000
15,2.060,109.308,5.871,96,128,11.924,21.087,1.435,1.435,225.170,18473.000
16,2.060,188.964,27.930,145,265,27.712,13.028,1.435,1.435,389.260,31935.000
17,2.060,220.574,66.875,144,510,27.712,13.028,1.435,1.435,454.374,37277.000
18,2.060,108.183,5.723,93,124,27.712,13.028,1.435,1.435,222.854,18283.000
19,2.060,104.290,4.461,94,117,25.393,6.514,1.435,1.435,214.833,17625.000
20,2.060,113.219,7.320,99,132,25.393,6.514,1.435,1.435,233.227,19134.000
21,2.060,104.621,4.400,92,118,25.393,6.514,1.435,1.435,215.516,17681.000
