 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,244.130,45.970,153,385,21.418,19.321,1.435,1.435,502.899,41258.000
2,2.060,249.574,74.389,156,489,21.418,19.321,1.435,1.435,514.113,42178.000
3,2.060,696.497,446.470,146,2009,21.418,19.321,1.435,1.435,1434.758,117708.000
4,2.060,250.142,37.046,174,334,18.879,20.977,1.435,1.435,515.283,42274.000
5,2.060,282.373,112.996,151,654,18.879,20.977,1.435,1.435,581.678,47721.000
6,2.060,756.402,425.722,163,1989,18.879,20.977,1.435,1.435,1558.161,127832.000
7,2.060,235.568,42.115,162,369,15.567,15.346,1.435,1.435,485.262,39811.000
8,2.060,276.396,63.267,167,430,15.567,15.346,1.435,1.435,569.367,46711.000
9,2.060,628.574,291.856,131,1124,15.567,15.346,1.435,1.435,1294.839,106229.000
10,2.060,191.704,33.819,129,283,20.535,11.151,1.435,1.435,394.903,32398.000
11,2.060,258.420,66.531,168,485,20.535,11.151,1.435,1.435,532.336,43673.000
12,2.060,124.645,18.450,101,207,20.535,11.151,1.435,1.435,256.764,21065.000
13,2.060,178.308,16.510,144,224,26.828,18.990,1.435,1.435,367.307,30134.000
14,2.060,305.917,85.089,189,658,26.828,18.990,1.435,1.435,630.178,51700.000
15,2.060,111.964,6.148,99,132,26.828,18.990,1.435,1.435,230.643,18922.000
16,2.060,206.704,40.750,138,344,16.781,25.835,1.435,1.435,425.803,34933.000
17,2.060,289.828,77.123,191,639,16.781,25.835,1.435,1.435,597.036,48981.000
18,2.060,117.337,8.454,99,150,16.781,25.835,1.435,1.435,241.710,19830.000
19,2.060,105.355,4.749,94,117,8.612,29.699,1.435,1.435,217.027,17805.000
20,2.060,112.645,6.463,93,129,8.612,29.699,1.435,1.435,232.044,19037.000
21,2.060,103.473,4.205,93,114,8.612,29.699,1.435,1.435,213.151,17487.000
