 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,250.249,44.639,178,423,15.236,16.340,1.435,1.435,515.503,42292.000
2,2.060,268.231,90.103,154,609,15.236,16.340,1.435,1.435,552.546,45331.000
3,2.060,4095.000,0.000,4095,4095,15.236,16.340,1.435,1.435,8435.549,692055.000
4,2.060,272.722,40.000,187,381,16.229,19.652,1.435,1.435,561.797,46090.000
5,2.060,269.491,74.947,162,562,16.229,19.652,1.435,1.435,555.142,45544.000
6,2.060,4095.000,0.000,4095,4095,16.229,19.652,1.435,1.435,8435.549,692055.000
7,2.060,262.343,40.578,170,383,21.529,16.671,1.435,1.435,540.417,44336.000
8,2.060,305.036,119.689,170,745,21.529,16.671,1.435,1.435,628.362,51551.000
9,2.060,4095.000,0.000,4095,4095,21.529,16.671,1.435,1.435,8435.549,692055.000
10,2.060,160.893,18.241,122,215,21.970,9.936,1.435,1.435,331.435,27191.000
11,2.060,231.355,71.593,144,529,21.970,9.936,1.435,1.435,476.583,39099.000
12,2.060,4095.000,0.000,4095,4095,21.970,9.936,1.435,1.435,8435.549,692055.000
13,2.060,162.923,17.656,126,208,10.820,13.359,1.435,1.435,335.616,27534.000
14,2.060,200.036,43.969,145,369,10.820,13.359,1.435,1.435,412.066,33806.000
15,2.060,4095.000,0.000,4095,4095,10.820,13.359,1.435,1.435,8435.549,692055.000
16,2.060,156.604,16.830,116,214,14.573,25.945,1.435,1.435,322.598,26466.000
17,2.060,216.053,73.718,133,538,14.573,25.945,1.435,1.435,445.062,36513.000
18,2.060,4095.000,0.000,4095,4095,14.573,25.945,1.435,1.435,8435.549,692055.000
19,2.060,106.101,5.339,94,120,9.053,6.293,1.435,1.435,218.563,17931.000
20,2.060,110.882,5.525,96,126,9.053,6.293,1.435,1.435,228.412,18739.000
21,2.060,187.568,13.091,148,226,9.053,6.293,1.435,1.435,386.383,31699.000
