 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,237.953,39.328,148,334,19.873,16.340,1.435,1.435,490.174,40214.000
2,2.060,242.787,68.690,134,505,19.873,16.340,1.435,1.435,500.132,41031.000
3,2.060,602.024,88.662,414,783,19.873,16.340,1.435,1.435,1240.147,101742.000
4,2.060,225.254,26.062,177,295,18.548,20.314,1.435,1.435,464.016,38068.000
5,2.060,212.361,88.002,133,640,18.548,20.314,1.435,1.435,437.456,35889.000
6,2.060,683.118,51.270,559,830,18.548,20.314,1.435,1.435,1407.199,115447.000
7,2.060,283.858,45.639,193,443,14.242,16.450,1.435,1.435,584.737,47972.000
8,2.060,290.059,74.548,173,500,14.242,16.450,1.435,1.435,597.511,49020.000
9,2.060,709.302,52.487,571,833,14.242,16.450,1.435,1.435,1461.136,119872.000
10,2.060,173.183,19.353,134,238,18.106,25.283,1.435,1.435,356.752,29268.000
11,2.060,204.994,31.390,149,329,18.106,25.283,1.435,1.435,422.280,34644.000
12,2.060,655.130,56.109,545,804,18.106,25.283,1.435,1.435,1349.544,110717.000
13,2.060,165.183,20.132,117,232,24.510,15.236,1.435,1.435,340.272,27916.000
14,2.060,219.580,45.460,142,343,24.510,15.236,1.435,1.435,452.326,37109.000
15,2.060,506.355,87.739,235,707,24.510,15.236,1.435,1.435,1043.073,85574.000
16,2.060,161.337,18.757,122,220,10.488,22.081,1.435,1.435,332.349,27266.000
17,2.060,234.456,57.222,162,431,10.488,22.081,1.435,1.435,482.970,39623.000
18,2.060,451.775,43.383,348,559,10.488,22.081,1.435,1.435,930.640,76350.000
19,2.060,108.822,4.905,96,124,17.775,31.465,1.435,1.435,224.170,18391.000
20,2.060,115.893,5.744,101,131,17.775,31.465,1.435,1.435,238.736,19586.000
21,2.060,117.757,6.397,106,137,17.775,31.465,1.435,1.435,242.576,19901.000
