 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,260.793,37.377,169,361,15.677,13.249,1.435,1.435,537.224,44074.000
2,2.060,282.669,60.618,187,487,15.677,13.249,1.435,1.435,582.287,47771.000
3,2.060,1291.402,116.437,930,1545,15.677,13.249,1.435,1.435,2660.241,218247.000
4,2.060,289.716,49.633,198,436,19.983,12.917,1.435,1.435,596.804,48962.000
5,2.060,290.645,82.439,179,662,19.983,12.917,1.435,1.435,598.718,49119.000
6,2.060,1463.876,88.840,1154,1692,19.983,12.917,1.435,1.435,3015.530,247395.000
7,2.060,270.574,39.705,202,367,17.665,19.762,1.435,1.435,557.372,45727.000
8,2.060,254.136,53.167,171,434,17.665,19.762,1.435,1.435,523.511,42949.000
9,2.060,1472.325,88.795,1231,1740,17.665,19.762,1.435,1.435,3032.936,248823.000
10,2.060,190.515,22.071,144,256,26.718,13.028,1.435,1.435,392.453,32197.000
11,2.060,310.254,114.595,157,746,26.718,13.028,1.435,1.435,639.113,52433.000
12,2.060,1021.130,69.292,853,1198,26.718,13.028,1.435,1.435,2103.491,172571.000
13,2.060,173.053,18.319,123,232,24.510,24.179,1.435,1.435,356.483,29246.000
14,2.060,307.935,120.605,166,868,24.510,24.179,1.435,1.435,634.335,52041.000
15,2.060,1337.562,164.533,1002,1691,24.510,24.179,1.435,1.435,2755.329,226048.000
16,2.060,190.757,25.399,136,255,10.378,21.308,1.435,1.435,392.953,32238.000
17,2.060,259.799,57.308,177,509,10.378,21.308,1.435,1.435,535.176,43906.000
18,2.060,946.183,77.515,799,1151,10.378,21.308,1.435,1.435,1949.103,159905.000
19,2.060,105.243,5.189,86,120,6.735,29.036,1.435,1.435,216.796,17786.000
20,2.060,113.982,6.105,96,132,6.735,29.036,1.435,1.435,234.799,19263.000
21,2.060,111.574,5.782,97,132,6.735,29.036,1.435,1.435,229.838,18856.000
