 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,270.154,49.353,181,439,20.756,16.009,1.435,1.435,556.507,45656.000
2,2.060,330.964,81.825,184,529,20.756,16.009,1.435,1.435,681.775,55933.000
3,2.060,627.379,49.437,502,756,20.756,16.009,1.435,1.435,1292.377,106027.000
4,2.060,273.485,41.220,187,396,21.750,19.873,1.435,1.435,563.369,46219.000
5,2.060,296.609,68.882,198,636,21.750,19.873,1.435,1.435,611.005,50127.000
6,2.060,624.888,47.960,507,750,21.750,19.873,1.435,1.435,1287.245,105606.000
7,2.060,284.479,39.695,201,383,14.573,16.450,1.435,1.435,586.017,48077.000
8,2.060,348.367,74.784,227,574,14.573,16.450,1.435,1.435,717.623,58874.000
9,2.060,683.154,49.859,573,809,14.573,16.450,1.435,1.435,1407.272,115453.000
10,2.060,154.189,18.741,119,218,11.813,11.261,1.435,1.435,317.624,26058.000
11,2.060,229.154,45.582,152,425,11.813,11.261,1.435,1.435,472.048,38727.000
12,2.060,496.917,58.425,384,651,11.813,11.261,1.435,1.435,1023.631,83979.000
13,2.060,162.657,21.861,125,238,25.172,10.378,1.435,1.435,335.067,27489.000
14,2.060,259.385,48.730,155,379,25.172,10.378,1.435,1.435,534.323,43836.000
15,2.060,561.065,64.255,429,689,25.172,10.378,1.435,1.435,1155.773,94820.000
16,2.060,153.538,18.602,116,201,23.737,25.835,1.435,1.435,316.284,25948.000
17,2.060,267.260,97.060,168,630,23.737,25.835,1.435,1.435,550.547,45167.000
18,2.060,490.396,73.895,358,816,23.737,25.835,1.435,1.435,1010.199,82877.000
19,2.060,104.580,4.837,93,117,30.913,15.236,1.435,1.435,215.431,17674.000
20,2.060,110.420,5.290,99,127,30.913,15.236,1.435,1.435,227.461,18661.000
21,2.060,104.325,5.308,91,126,30.913,15.236,1.435,1.435,214.907,17631.000
