 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,320.024,51.031,219,510,20.314,16.229,1.435,1.435,659.237,54084.000
2,2.060,695.669,184.575,385,1298,20.314,16.229,1.435,1.435,1433.052,117568.000
3,2.060,439.722,215.480,135,1013,20.314,16.229,1.435,1.435,905.811,74313.000
4,2.060,324.201,57.206,205,469,21.639,18.990,1.435,1.435,667.843,54790.000
5,2.060,691.864,216.952,349,1360,21.639,18.990,1.435,1.435,1425.214,116925.000
6,2.060,586.781,255.396,186,1195,21.639,18.990,1.435,1.435,1208.747,99166.000
7,2.060,362.136,46.521,251,508,15.125,18.769,1.435,1.435,745.987,61201.000
8,2.060,651.308,216.989,278,1274,15.125,18.769,1.435,1.435,1341.670,110071.000
9,2.060,701.331,239.255,291,1189,15.125,18.769,1.435,1.435,1444.717,118525.000
10,2.060,150.846,17.320,115,209,11.261,13.138,1.435,1.435,310.738,25493.000
11,2.060,317.574,85.694,187,615,11.261,13.138,1.435,1.435,654.191,53670.000
12,2.060,113.391,7.026,101,138,11.261,13.138,1.435,1.435,233.580,19163.000
13,2.060,171.728,23.353,123,236,22.743,11.040,1.435,1.435,353.753,29022.000
14,2.060,312.420,75.995,179,545,22.743,11.040,1.435,1.435,643.574,52799.000
15,2.060,109.982,5.961,95,126,22.743,11.040,1.435,1.435,226.559,18587.000
16,2.060,174.604,23.699,133,260,17.113,26.828,1.435,1.435,359.677,29508.000
17,2.060,370.047,76.712,205,655,17.113,26.828,1.435,1.435,762.284,62538.000
18,2.060,152.840,19.033,125,279,17.113,26.828,1.435,1.435,314.845,25830.000
19,2.060,107.503,5.163,97,126,19.210,33.673,1.435,1.435,221.452,18168.000
20,2.060,126.633,8.874,104,155,19.210,33.673,1.435,1.435,260.860,21401.000
21,2.060,168.503,11.358,136,209,19.210,33.673,1.435,1.435,347.110,28477.000
