 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,288.722,52.657,176,446,19.873,13.580,1.435,1.435,594.756,48794.000
2,2.060,246.805,60.400,150,502,19.873,13.580,1.435,1.435,508.409,41710.000
3,2.060,264.296,186.851,114,964,19.873,13.580,1.435,1.435,544.440,44666.000
4,2.060,241.763,35.943,173,337,16.561,12.144,1.435,1.435,498.024,40858.000
5,2.060,321.402,192.887,148,1111,16.561,12.144,1.435,1.435,662.077,54317.000
6,2.060,413.651,341.670,110,1380,16.561,12.144,1.435,1.435,852.106,69907.000
7,2.060,259.888,31.511,197,356,15.125,19.431,1.435,1.435,535.359,43921.000
8,2.060,245.751,78.614,157,529,15.125,19.431,1.435,1.435,506.239,41532.000
9,2.060,155.237,51.234,112,426,15.125,19.431,1.435,1.435,319.782,26235.000
10,2.060,205.621,38.995,140,330,28.374,14.021,1.435,1.435,423.572,34750.000
11,2.060,261.746,78.899,151,582,28.374,14.021,1.435,1.435,539.186,44235.000
12,2.060,108.923,5.568,92,122,28.374,14.021,1.435,1.435,224.378,18408.000
13,2.060,172.923,23.484,128,243,9.495,8.501,1.435,1.435,356.215,29224.000
14,2.060,287.586,122.259,145,869,9.495,8.501,1.435,1.435,592.416,48602.000
15,2.060,113.941,7.766,100,141,9.495,8.501,1.435,1.435,234.714,19256.000
16,2.060,218.911,28.280,155,296,5.741,19.210,1.435,1.435,450.949,36996.000
17,2.060,260.290,58.297,136,429,5.741,19.210,1.435,1.435,536.188,43989.000
18,2.060,114.349,7.162,97,138,5.741,19.210,1.435,1.435,235.555,19325.000
19,2.060,104.941,4.907,92,121,5.410,4.085,1.435,1.435,216.174,17735.000
20,2.060,112.189,6.337,97,135,5.410,4.085,1.435,1.435,231.106,18960.000
21,2.060,102.408,4.239,88,112,5.410,4.085,1.435,1.435,210.957,17307.000
