 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,319.166,38.009,222,450,18.548,13.801,1.435,1.435,657.470,53939.000
2,2.060,643.911,177.623,318,1261,18.548,13.801,1.435,1.435,1326.433,108821.000
3,2.060,868.982,77.081,706,1073,18.548,13.801,1.435,1.435,1790.071,146858.000
4,2.060,291.314,48.812,198,466,21.418,16.340,1.435,1.435,600.095,49232.000
5,2.060,586.627,168.547,303,1221,21.418,16.340,1.435,1.435,1208.431,99140.000
6,2.060,759.172,74.068,583,1037,21.418,16.340,1.435,1.435,1563.866,128300.000
7,2.060,350.243,50.596,235,508,15.457,20.535,1.435,1.435,721.487,59191.000
8,2.060,781.663,210.927,381,1417,15.457,20.535,1.435,1.435,1610.196,132101.000
9,2.060,815.178,67.337,686,1029,15.457,20.535,1.435,1.435,1679.236,137765.000
10,2.060,148.408,21.332,119,240,16.340,9.495,1.435,1.435,305.716,25081.000
11,2.060,276.840,130.394,142,821,16.340,9.495,1.435,1.435,570.281,46786.000
12,2.060,725.260,84.543,535,979,16.340,9.495,1.435,1.435,1494.010,122569.000
13,2.060,164.089,17.708,123,219,26.607,16.892,1.435,1.435,338.017,27731.000
14,2.060,300.568,105.184,161,748,26.607,16.892,1.435,1.435,619.159,50796.000
15,2.060,723.325,93.721,528,969,26.607,16.892,1.435,1.435,1490.024,122242.000
16,2.060,167.550,23.588,132,263,7.839,17.444,1.435,1.435,345.147,28316.000
17,2.060,263.420,52.343,160,441,7.839,17.444,1.435,1.435,542.636,44518.000
18,2.060,718.207,70.634,565,928,7.839,17.444,1.435,1.435,1479.480,121377.000
19,2.060,106.781,5.415,90,123,3.864,25.835,1.435,1.435,219.965,18046.000
20,2.060,118.568,7.623,99,142,3.864,25.835,1.435,1.435,244.246,20038.000
21,2.060,109.740,5.474,94,128,3.864,25.835,1.435,1.435,226.060,18546.000
