 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,271.775,46.975,164,442,559.847,45930.000
2,2.060,660.296,147.122,439,1144,1360.185,111590.000
3,2.060,592.580,132.304,369,1015,1220.693,100146.000
4,2.060,252.059,51.819,154,440,519.233,42598.000
5,2.060,581.426,203.715,293,1403,1197.716,98261.000
6,2.060,891.686,339.858,404,1872,1836.841,150695.000
7,2.060,300.450,52.336,179,494,618.915,50776.000
8,2.060,872.503,194.001,416,1461,1797.324,147453.000
9,2.060,658.041,191.319,294,1252,1355.541,111209.000
10,2.060,173.846,27.765,123,255,358.117,29380.000
11,2.060,313.320,100.954,159,697,645.427,52951.000
12,2.060,176.609,67.693,106,398,363.809,29847.000
13,2.060,192.124,28.707,133,325,395.769,32469.000
14,2.060,312.420,91.077,172,550,643.574,52799.000
15,2.060,113.308,8.968,93,169,233.410,19149.000
16,2.060,178.302,24.640,131,251,367.295,30133.000
17,2.060,419.787,126.611,250,939,864.746,70944.000
18,2.060,141.953,54.557,100,351,292.417,23990.000
19,2.060,115.148,6.432,101,137,237.201,19460.000
20,2.060,115.148,6.432,101,137,237.201,19460.000
21,2.060,129.905,8.812,110,157,267.600,21954.000
