 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,237.420,48.511,157,399,489.077,40124
2,2.060,327.574,80.634,199,661,674.790,55360
3,2.060,199.077,19.032,154,274,410.091,33644
4,2.060,256.799,46.128,154,406,528.996,43399
5,2.060,390.497,115.903,213,868,804.410,65994
6,2.060,203.840,22.511,158,262,419.903,34449
7,2.060,243.432,38.684,178,370,501.461,41140
8,2.060,438.639,122.737,236,923,903.580,74130
9,2.060,211.183,20.668,162,264,435.030,35690
10,2.060,219.923,43.578,130,377,453.033,37167
11,2.060,376.959,80.051,233,615,776.521,63706
12,2.060,207.953,17.678,169,260,428.375,35144
13,2.060,221.302,37.891,152,355,455.874,37400
14,2.060,330.426,93.334,193,661,680.665,55842
15,2.060,216.663,20.262,174,276,446.317,36616
16,2.060,196.544,26.731,151,271,404.874,33216
17,2.060,463.769,132.716,244,869,955.348,78377
18,2.060,208.207,17.367,164,260,428.899,35187
19,2.060,109.982,5.790,96,128,226.559,18587
20,2.060,118.769,7.297,96,139,244.660,20072
21,2.060,99.805,3.972,86,114,205.594,16867
