 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,359.243,73.791,208,644,740.027,60712.000
2,2.060,1875.953,640.318,877,4092,3864.394,317036.000
3,2.060,329.237,38.649,242,452,678.215,55641.000
4,2.060,300.473,66.086,176,459,618.964,50780.000
5,2.060,1094.491,301.501,485,2276,2254.611,184969.000
6,2.060,307.799,40.493,201,428,634.054,52018.000
7,2.060,338.095,68.563,220,582,696.463,57138.000
8,2.060,1201.899,368.663,666,2296,2475.869,203121.000
9,2.060,339.976,35.112,260,449,700.339,57456.000
10,2.060,149.225,15.999,117,200,307.398,25219.000
11,2.060,394.361,154.828,215,1071,812.369,66647.000
12,2.060,286.491,36.094,213,428,590.161,48417.000
13,2.060,153.734,16.397,126,214,316.686,25981.000
14,2.060,671.651,214.615,336,1382,1383.576,113509.000
15,2.060,294.852,40.999,193,394,607.384,49830.000
16,2.060,159.716,17.026,129,221,329.009,26992.000
17,2.060,400.746,94.211,241,646,825.521,67726.000
18,2.060,241.828,33.617,182,361,498.158,40869.000
19,2.060,107.864,5.610,95,123,222.196,18229.000
20,2.060,107.864,5.610,95,123,222.196,18229.000
21,2.060,106.769,5.004,94,121,219.941,18044.000
