Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
13.520,49.515,1362,509,788554,578.968,358.829,429.500,250,1904,148.004,101.435,6.566,1.454,0.262,1.427,148.205,101.248,6.617,139,95,1,16,17,13
6.452,28.634,650,281,341740,525.754,297.322,414.500,250,1601,88.891,133.069,8.934,1.149,0.277,1.116,88.940,133.102,8.986,84,128,3,11,11,13
