Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
13.083,47.808,1318,491,798272,605.669,419.378,428.000,250,2155,92.149,119.147,8.396,1.462,0.311,1.436,92.031,119.149,8.528,86,111,1,14,17,16
7.604,32.487,766,327,406957,531.275,327.775,400.500,250,2102,154.439,99.158,8.074,1.222,0.289,1.236,154.445,99.126,8.086,150,93,2,10,14,13
