Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
9.122,39.622,919,405,416556,453.271,178.666,403,250,1096,156.930,104.947,8.670,1.312,0.305,1.339,157.011,104.877,8.674,151,97,3,12,20,12
7.623,33.830,768,357,329276,428.745,148.465,394,250,919,76.454,137.177,8.878,1.222,0.295,1.234,76.526,137.242,8.891,71,129,4,12,17,10
