Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
11.644,43.275,1173,539,515485,439.459,165.140,396.000,250,1202,126.889,109.746,3.610,1.320,0.313,1.314,126.674,109.823,3.433,119,100,1,17,20,8
11.733,46.430,1182,519,497364,420.782,149.210,378.500,250,970,158.076,145.391,8.327,1.378,0.350,1.396,158.157,145.529,8.354,153,134,4,11,22,10
