 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,9.172,34.895,924,356,1320745,1429.378,825.006,1105.500,600,4095,104.725,76.121,9.733,1.282,0.257,1.251,104.693,76.107,9.683,100,70,4,12,13,12
2,2.472,14.434,249,132,309000,1240.964,615.085,1010.000,606,3455,89.137,134.968,9.466,0.838,0.241,0.795,89.174,134.955,9.496,86,132,5,7,7,10
3,2.233,13.257,225,133,228509,1015.596,312.114,959.000,600,1933,144.844,99.796,12.862,0.780,0.176,0.772,144.890,99.838,12.887,141,97,9,9,7,8
4,5.122,22.257,516,261,747541,1448.723,702.960,1259.500,600,3505,139.926,144.808,14.190,1.016,0.181,1.010,139.856,144.813,14.547,136,139,10,9,13,8
