measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,5,23701.3438,4426.4945,17582.4219,33108.4219,18510.4231,1529787
microtubule,2,5,15649.0156,1955.0532,12844.4219,23707.4219,12274.7,1014438
microtubule,3,5,19447.3906,2217.9998,16201.4219,26409.4219,15216.1617,1257534
microtubule,1,3,11507.7344,2443.2572,6405.7812,19489.7812,9052.6999,748157
microtubule,2,3,10567.1719,1808.5649,6984.7812,13479.7812,8324.3283,687961
microtubule,3,3,13783.2031,4204.9688,9298.7812,27332.7812,10814.8229,893787
microtubule,1,5,23701.3438,4426.4945,17582.4219,33108.4219,18510.4231,1529787
microtubule,2,5,15649.0156,1955.0532,12844.4219,23707.4219,12274.7,1014438
microtubule,3,5,19447.3906,2217.9998,16201.4219,26409.4219,15216.1617,1257534
cytoplasm,1,5,12486.0781,1824.3185,9946.4219,16789.4219,9825.3212,812010
cytoplasm,2,5,13194.8438,2052.8833,10321.4219,19091.4219,10374.1893,857371
cytoplasm,3,5,12678.5,1576.4127,9011.4219,16128.4219,9974.3327,824325
cytoplasm,1,3,6962.6094,1124.1143,5309.7812,9867.7812,5532.955,457269
cytoplasm,2,3,7687.5,938.5575,5964.7812,10404.7812,6094.3103,503662
cytoplasm,3,3,6996.9844,1381.8122,4961.7812,11529.7812,5559.575,459469
cytoplasm,1,5,12486.0781,1824.3185,9946.4219,16789.4219,9825.3212,812010
cytoplasm,2,5,13194.8438,2052.8833,10321.4219,19091.4219,10374.1893,857371
cytoplasm,3,5,12678.5,1576.4127,9011.4219,16128.4219,9974.3327,824325
