measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,7,43593.0625,15305.5826,13947.2188,64435.2188,34610.1389,2860342
microtubule,2,7,46095.9688,7493.341,31587.2188,59369.2188,36548.3895,3020528
microtubule,3,7,32378.5469,6423.6886,19046.2188,44343.2188,25925.6178,2142613
microtubule,1,3,17953.6094,6235.2636,6637.1875,27861.1875,14530.3942,1200859
microtubule,2,3,17441.1562,1807.0436,12154.1875,20615.1875,14133.5505,1168062
microtubule,3,3,15873.6719,2960.7254,9644.1875,23407.1875,12919.6906,1067743
microtubule,1,7,43593.0625,15305.5826,13947.2188,64435.2188,34610.1389,2860342
microtubule,2,7,46095.9688,7493.341,31587.2188,59369.2188,36548.3895,3020528
microtubule,3,7,32378.5469,6423.6886,19046.2188,44343.2188,25925.6178,2142613
cytoplasm,1,7,10265.4375,1039.261,8462.2188,12206.2188,8801.2256,727374
cytoplasm,2,7,10270.6875,1232.6782,7745.2188,12521.2188,8805.2912,727710
cytoplasm,3,7,10503.7031,1308.7115,8127.2188,13095.2188,8985.7385,742623
cytoplasm,1,3,9414.3281,450.2558,8439.1875,10305.1875,7917.5747,654345
cytoplasm,2,3,8904.2344,692.4667,7630.1875,10344.1875,7522.5581,621699
cytoplasm,3,3,8318.9844,547.3547,6854.1875,9316.1875,7069.3404,584243
cytoplasm,1,7,10265.4375,1039.261,8462.2188,12206.2188,8801.2256,727374
cytoplasm,2,7,10270.6875,1232.6782,7745.2188,12521.2188,8805.2912,727710
cytoplasm,3,7,10503.7031,1308.7115,8127.2188,13095.2188,8985.7385,742623
