measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,7,43598.7656,7734.8483,27008.8125,57562.8125,33913.2636,2802749
microtubule,2,7,45211.6562,10614.799,20116.8125,64109.8125,35162.2861,2905974
microtubule,3,7,50262.4688,11593.1669,28521.8125,65340.8125,39073.6354,3229226
microtubule,1,3,14884.4688,1933.69,9221.6875,19309.6875,11627.4468,960946
microtubule,2,3,15741.3281,3184.3569,7372.6875,20267.6875,12290.9987,1015785
microtubule,3,3,21280.8125,5226.8824,12672.6875,31160.6875,16580.7755,1370312
microtubule,1,7,43598.7656,7734.8483,27008.8125,57562.8125,33913.2636,2802749
microtubule,2,7,45211.6562,10614.799,20116.8125,64109.8125,35162.2861,2905974
microtubule,3,7,50262.4688,11593.1669,28521.8125,65340.8125,39073.6354,3229226
cytoplasm,1,7,11109.8125,948.5456,9254.8125,13479.8125,8753.8178,723456
cytoplasm,2,7,11510.4531,1140.0702,9807.8125,15051.8125,9064.0739,749097
cytoplasm,3,7,11350.5938,1652.8713,8438.8125,17182.8125,8940.2788,738866
cytoplasm,1,3,7948.7188,1069.5717,6312.6875,11331.6875,6256.4019,517058
cytoplasm,2,3,7180.0156,361.8534,6320.6875,8114.6875,5661.1182,467861
cytoplasm,3,3,7501.6406,800.025,6001.6875,9150.6875,5910.1846,488445
cytoplasm,1,7,11109.8125,948.5456,9254.8125,13479.8125,8753.8178,723456
cytoplasm,2,7,11510.4531,1140.0702,9807.8125,15051.8125,9064.0739,749097
cytoplasm,3,7,11350.5938,1652.8713,8438.8125,17182.8125,8940.2788,738866
