measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,3909.7031,149.6182,3110.7656,3952.7656,3160.9344,259324
microtubule,2,3,3702.8125,572.423,1043.7656,3952.7656,2999.5381,246083
microtubule,3,3,3849.7969,354.8622,2027.7656,3952.7656,3114.2012,255490
microtubule,1,4,39.875,23.8101,-1.875,117.125,109.0196,8944
microtubule,2,4,16.25,12.2338,0.125,69.125,90.5896,7432
microtubule,3,4,18.8281,11.7523,-2.875,57.125,92.6008,7597
microtubule,1,2,1502.6562,109.6304,1238.9219,1736.9219,1450.787,119023
microtubule,2,2,1348.7031,135.9894,1075.9219,1588.9219,1330.6875,109170
microtubule,3,2,1525,126.1434,1271.9219,1891.9219,1468.2175,120453
cytoplasm,1,3,1311.1875,92.4129,1123.7656,1539.7656,1133.8208,93019
cytoplasm,2,3,1374.9531,137.9003,1121.7656,1615.7656,1183.5647,97100
cytoplasm,3,3,1631.0625,100.0369,1435.7656,1821.7656,1383.3567,113491
cytoplasm,1,4,13.4062,11.3536,-1.875,53.125,88.3712,7250
cytoplasm,2,4,6.9844,6.5632,-6.875,25.125,83.3615,6839
cytoplasm,3,4,6.7812,7.9806,-11.875,31.125,83.203,6826
cytoplasm,1,2,1096.3438,92.4129,908.9219,1324.9219,1133.8208,93019
cytoplasm,2,2,1160.1094,137.9003,906.9219,1400.9219,1183.5647,97100
cytoplasm,3,2,1416.2188,100.0369,1220.9219,1606.9219,1383.3567,113491
