measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2749.5938,356.7241,2010.3594,3403.3594,2289.0092,187791
microtubule,2,3,2675.875,440.034,1023.3594,3390.3594,2231.5009,183073
microtubule,3,3,1753.7656,184.1748,1280.3594,2123.3594,1512.1593,124058
microtubule,1,4,26.1719,22.2655,-4.9844,86.0156,101.5355,8330
microtubule,2,4,17.4531,9.485,-0.9844,39.0156,94.7339,7772
microtubule,3,4,16.7344,17.9695,-2.9844,78.0156,94.1732,7726
microtubule,1,2,1113.3594,77.8964,906.3125,1330.3125,1014.1723,83203
microtubule,2,2,1037.7812,74.7935,849.3125,1287.3125,955.2135,78366
microtubule,3,2,1140.2812,83.3103,916.3125,1287.3125,1035.1742,84926
cytoplasm,1,3,994.6875,69.8525,846.3594,1181.3594,919.9991,75477
cytoplasm,2,3,822.5156,80.3321,638.3594,996.3594,785.687,64458
cytoplasm,3,3,831.3438,73.5597,700.3594,1023.3594,792.5739,65023
cytoplasm,1,4,15.2656,17.6131,-5.9844,66.0156,93.0275,7632
cytoplasm,2,4,15.4062,14.6727,-10.9844,52.0156,93.1372,7641
cytoplasm,3,4,10.5781,12.5114,-4.9844,59.0156,89.3707,7332
cytoplasm,1,2,992.6406,69.8525,844.3125,1179.3125,919.9991,75477
cytoplasm,2,2,820.4688,80.3321,636.3125,994.3125,785.687,64458
cytoplasm,3,2,829.2969,73.5597,698.3125,1021.3125,792.5739,65023
