measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,3875.7031,61.3705,3633.125,3902.125,3173.9158,260389
microtubule,2,3,3860.3438,123.1896,3309.125,3902.125,3161.9339,259406
microtubule,3,3,2243.4688,330.0066,1400.125,2751.125,1900.6025,155926
microtubule,1,4,11.625,12.5516,-6.9844,65.0156,90.1874,7399
microtubule,2,4,7.1562,8.059,-11.9844,26.0156,86.7013,7113
microtubule,3,4,9.4219,8.8939,-5.9844,36.0156,88.4687,7258
microtubule,1,2,1825.0781,88.4293,1648.1094,2023.1094,1582.0274,129790
microtubule,2,2,2330.6094,123.1993,1961.1094,2564.1094,1976.3946,162144
microtubule,3,2,1781.3438,102.6962,1618.1094,2124.1094,1547.91,126991
cytoplasm,1,3,1522.7656,84.2293,1342.125,1733.125,1338.3788,109801
cytoplasm,2,3,1392.0156,86.2854,1256.125,1666.125,1236.3802,101433
cytoplasm,3,3,2009.3281,117.3791,1794.125,2281.125,1717.9484,140941
cytoplasm,1,4,11.6875,10.0159,-3.9844,40.0156,90.2361,7403
cytoplasm,2,4,-0.5781,4.1278,-11.9844,8.0156,80.6677,6618
cytoplasm,3,4,7.9062,12.5788,-3.9844,62.0156,87.2864,7161
cytoplasm,1,2,1512.75,84.2293,1332.1094,1723.1094,1338.3788,109801
cytoplasm,2,2,1382,86.2854,1246.1094,1656.1094,1236.3802,101433
cytoplasm,3,2,1999.3125,117.3791,1784.1094,2271.1094,1717.9484,140941
