 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,324.811,43.749,237,486,669.098,54893.000
2,2.060,773.083,341.011,284,2071,1592.522,130651.000
3,2.060,1072.515,91.961,781,1283,2209.341,181255.000
4,2.060,342.254,48.609,232,468,705.032,57841.000
5,2.060,817.793,319.568,353,1844,1684.623,138207.000
6,2.060,1007.041,76.882,796,1222,2074.468,170190.000
7,2.060,345.414,45.987,230,483,711.541,58375.000
8,2.060,715.876,344.813,255,1709,1474.678,120983.000
9,2.060,1013.639,73.688,858,1168,2088.059,171305.000
10,2.060,171.769,23.085,130,262,353.838,29029.000
11,2.060,576.686,251.251,312,1673,1187.953,97460.000
12,2.060,576.686,251.251,312,1673,1187.953,97460.000
13,2.060,178.497,25.078,124,269,367.697,30166.000
14,2.060,765.450,326.295,364,2186,1576.798,129361.000
15,2.060,780.568,70.627,550,935,1607.941,131916.000
16,2.060,175.314,20.377,135,238,361.140,29628.000
17,2.060,641.556,273.911,307,1736,1321.582,108423.000
18,2.060,720.959,145.719,504,1201,1485.148,121842.000
19,2.060,113.030,6.256,99,130,232.837,19102.000
20,2.060,209.349,17.266,169,264,431.251,35380.000
21,2.060,142.763,8.752,119,167,294.087,24127.000
