 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,337.444,65.808,215,555,695.122,57028.000
2,2.060,1215.959,470.796,460,2369,2504.830,205497.000
3,2.060,668.976,141.265,329,920,1378.067,113057.000
4,2.060,342.615,77.460,178,564,705.775,57902.000
5,2.060,1319.373,527.728,493,2749,2717.859,222974.000
6,2.060,752.746,318.106,314,1676,1550.628,127214.000
7,2.060,339.657,56.840,200,552,699.681,57402.000
8,2.060,1167.663,397.560,550,2247,2405.342,197335.000
9,2.060,397.698,187.405,134,849,819.244,67211.000
10,2.060,165.385,25.099,117,245,340.686,27950.000
11,2.060,588.325,234.913,240,1216,1211.929,99427.000
12,2.060,106.704,5.691,96,128,219.807,18033.000
13,2.060,149.112,18.370,117,224,307.166,25200.000
14,2.060,607.988,329.578,224,1908,1252.433,102750.000
15,2.060,105.769,4.979,94,122,217.881,17875.000
16,2.060,168.503,19.292,132,256,347.110,28477.000
17,2.060,591.509,165.069,292,1129,1218.487,99965.000
18,2.060,109.272,5.502,98,127,225.097,18467.000
19,2.060,104.586,4.832,92,118,215.443,17675.000
20,2.060,128.030,7.736,108,148,263.736,21637.000
21,2.060,101.178,4.051,89,113,208.422,17099.000
