 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,173.882,31.038,125,280,358.190,29386.000
2,2.060,660.118,269.344,337,1526,1359.820,111560.000
3,2.060,1256.379,172.605,855,1818,2588.094,212328.000
4,2.060,179.018,32.593,119,281,368.770,30254.000
5,2.060,830.154,408.693,334,2160,1710.086,140296.000
6,2.060,1215.343,215.451,818,1729,2503.562,205393.000
7,2.060,204.817,40.486,118,301,421.915,34614.000
8,2.060,776.615,408.018,312,2281,1599.799,131248.000
9,2.060,973.568,202.402,582,1403,2005.514,164533.000
10,2.060,173.947,22.982,131,252,358.324,29397.000
11,2.060,509.544,196.546,273,1226,1049.643,86113.000
12,2.060,111.586,6.951,96,134,229.863,18858.000
13,2.060,173.846,23.490,125,231,358.117,29380.000
14,2.060,534.379,195.593,292,1184,1100.800,90310.000
15,2.060,204.308,101.200,96,479,420.866,34528.000
16,2.060,165.231,24.766,125,273,340.369,27924.000
17,2.060,492.627,207.979,264,1357,1014.794,83254.000
18,2.060,147.047,45.846,97,288,302.912,24851.000
19,2.060,104.621,5.231,85,120,215.516,17681.000
20,2.060,144.953,11.415,114,177,298.597,24497.000
21,2.060,101.249,3.882,89,113,208.568,17111.000
