 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,317.805,43.988,221,435,654.666,53709.000
2,2.060,2230.787,692.829,847,3642,4595.339,377003.000
3,2.060,313.367,44.889,211,447,645.524,52959.000
4,2.060,294.107,53.674,189,475,605.849,49704.000
5,2.060,2185.935,769.341,1080,4095,4502.946,369423.000
6,2.060,331.290,56.534,230,483,682.445,55988.000
7,2.060,308.917,71.780,195,521,636.358,52207.000
8,2.060,2486.876,856.243,1024,4095,5122.873,420282.000
9,2.060,382.840,56.493,238,597,788.637,64700.000
10,2.060,154.136,19.834,113,229,317.515,26049.000
11,2.060,863.574,337.512,376,1813,1778.931,145944.000
12,2.060,338.574,66.277,234,623,697.450,57219.000
13,2.060,144.479,19.967,114,219,297.622,24417.000
14,2.060,1051.012,344.952,540,2029,2165.046,177621.000
15,2.060,291.982,33.931,219,391,601.473,49345.000
16,2.060,147.473,19.019,112,207,303.790,24923.000
17,2.060,768.651,317.388,358,1857,1583.393,129902.000
18,2.060,318.207,40.727,216,431,655.495,53777.000
19,2.060,103.982,4.458,94,121,214.200,17573.000
20,2.060,136.586,9.799,111,171,281.362,23083.000
21,2.060,104.059,5.189,91,127,214.358,17586.000
