 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,0.923,8.249,93,68,35344,380.043,46.880,370.000,317,509,139.548,134.172,8.183,0.539,0.121,0.534,139.494,134.171,8.192,137,131,6,7,7,6
2,1.032,7.789,104,70,41242,396.558,54.364,385.500,318,541,111.067,105.692,12.058,0.573,0.118,0.565,111.081,105.712,12.052,109,103,9,5,6,7
