 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,2.769,17.080,279,164,141990,508.925,163.067,465,317,1053,122.638,161.459,7.674,0.881,0.251,0.877,122.707,161.531,7.697,118,158,4,10,7,9
2,2.353,14.352,237,133,106262,448.363,96.378,429,317,717,122.738,99.473,8.409,0.780,0.153,0.776,122.750,99.459,8.419,119,96,5,9,7,8
3,0.377,4.220,38,30,14320,376.842,48.103,365,319,538,93.289,99.316,7.789,0.411,0.125,0.393,93.252,99.310,7.811,92,98,6,4,4,5
