 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.807,11.620,182,111,76834,422.165,82.076,401.000,317,675,163.038,126.066,9.643,0.703,0.140,0.727,163.023,126.151,9.653,161,122,7,6,9,7
2,0.496,5.183,50,39,19139,382.780,57.915,370.500,318,502,91.240,111.800,10.800,0.452,0.132,0.426,91.252,111.777,10.795,90,110,9,4,5,5
