 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.132,8.679,114,76,254732,2234.491,862.275,1988.500,1200,4095,112.175,80.737,9.430,0.659,0.220,0.610,112.179,80.639,9.403,110,79,6,5,5,8
2,0.596,5.686,60,45,98703,1645.050,288.664,1624.500,1226,2446,51.350,95.800,8.650,0.488,0.143,0.495,51.359,95.782,8.692,50,94,6,4,5,6
3,5.152,22.250,519,234,1233715,2377.100,913.944,2136.000,1203,4095,60.087,112.397,10.141,1.037,0.199,1.035,60.171,112.348,10.150,56,108,6,9,10,10
4,3.802,19.207,383,198,835843,2182.358,827.747,1907.000,1204,4095,107.919,122.055,12.026,0.935,0.209,0.959,107.973,122.151,12.000,103,117,8,9,10,9
