 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,4.894,27.430,493,272,1067721,2165.763,845.504,1889.000,1203,4095,147.487,137.369,8.026,1.085,0.344,1.149,147.663,137.343,8.052,140,134,4,16,8,9
2,1.836,11.851,185,109,418050,2259.730,972.231,1929.000,1214,4095,75.443,111.195,10.989,0.770,0.245,0.738,75.403,111.236,11.027,73,109,7,6,6,9
3,2.144,13.210,216,134,433496,2006.926,582.471,1905.500,1202,3423,87.407,109.861,13.134,0.764,0.182,0.753,87.363,109.919,13.177,84,106,10,9,7,7
