 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,3.127,18.248,315,181,564801,1793.019,451.606,1731,1201,3123,205.857,158.362,9.670,0.861,0.214,0.867,205.810,158.458,9.669,202,153,6,8,12,8
2,7.951,33.794,801,357,1591522,1986.919,597.608,1842,1203,3774,142.858,127.940,11.961,1.170,0.231,1.202,142.849,128.014,11.969,135,121,7,15,14,10
3,0.675,5.970,68,51,118879,1748.221,447.989,1674,1201,3222,224.029,130.588,10.765,0.526,0.163,0.521,224.016,130.628,10.790,222,129,8,5,4,6
4,0.119,1.707,12,12,15342,1278.500,38.700,1272,1224,1339,121.500,133.083,9.333,0.240,0.073,0.230,121.493,133.080,9.330,121,132,8,2,3,3
