 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,2.690,14.964,271,147,595348,2196.856,840.568,1975,1201,4095,100.572,108.314,8.801,0.823,0.178,0.850,100.571,108.302,8.780,98,103,5,6,11,8
2,2.194,12.886,221,131,491151,2222.403,813.841,2020,1204,4095,164.480,114.443,9.398,0.764,0.167,0.772,164.508,114.431,9.349,162,111,6,6,9,8
