measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1828.7656,362.8251,1097.1719,2668.1719,4619.782,139622
microtubule,2,3,2012.7344,497.1615,1013.1719,3208.1719,5009.3575,151396
microtubule,3,3,2045.5781,351.0992,1304.1719,2863.1719,5078.908,153498
microtubule,1,1,111.4688,25.528,57.0469,160.0469,509.1217,15387
microtubule,2,1,129.1094,22.1222,79.0469,175.0469,546.4778,16516
microtubule,3,1,168.5469,32.4448,107.0469,243.0469,629.9913,19040
microtubule,1,2,856.4375,263.3737,427.0781,1383.0781,2120.4965,64087
microtubule,2,2,706.2656,142.5366,368.0781,1011.0781,1802.4899,54476
microtubule,3,2,673.7812,91.8229,474.0781,869.0781,1733.7004,52397
cytoplasm,1,3,-96.1094,27.0781,-145.8281,-33.8281,543.6322,16430
cytoplasm,2,3,-89.9062,50.8163,-196.8281,44.1719,556.7681,16827
cytoplasm,3,3,-32.2656,48.8255,-107.8281,116.1719,678.8289,20516
cytoplasm,1,1,94.0938,23.3125,37.0469,153.0469,472.3281,14275
cytoplasm,2,1,272.8281,49.0052,145.0469,378.0469,850.8192,25714
cytoplasm,3,1,124.5781,39.4534,47.0469,207.0469,536.8823,16226
cytoplasm,1,2,101.2656,37.197,42.0781,183.0781,521.3311,15756
cytoplasm,2,2,124.5938,24.5738,71.0781,183.0781,570.7311,17249
cytoplasm,3,2,110.875,25.8618,64.0781,198.0781,541.68,16371
