measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2454.3281,672.0215,1446.9375,3989.9375,5419.8114,163801
microtubule,2,3,2408.7812,639.3875,1383.9375,3989.9375,5323.3606,160886
microtubule,3,3,2197.0938,433.2892,1418.9375,2944.9375,4875.0873,147338
microtubule,1,1,61.5,17.5003,27.7031,117.7031,387.0939,11699
microtubule,2,1,78.3594,24.0411,42.7031,147.7031,422.7957,12778
microtubule,3,1,65.5,17.57,14.7031,110.7031,395.5644,11955
microtubule,1,2,602.9844,204.1077,251.9844,1055.9844,1497.1559,45248
microtubule,2,2,622.2344,141.696,332.9844,883.9844,1537.92,46480
microtubule,3,2,503.2656,170.734,243.9844,877.9844,1285.9897,38866
cytoplasm,1,3,278.0781,66.1563,134.9375,413.9375,811.3455,24521
cytoplasm,2,3,334.4531,61.1223,186.9375,461.9375,930.7262,28129
cytoplasm,3,3,226.8594,40.7081,116.9375,303.9375,702.8837,21243
cytoplasm,1,1,93.3438,29.7483,37.7031,155.7031,454.5268,13737
cytoplasm,2,1,80.6562,19.5865,34.7031,130.7031,427.6596,12925
cytoplasm,3,1,85.9062,22.2975,37.7031,137.7031,438.777,13261
cytoplasm,1,2,161.375,34.5003,94.9844,240.9844,561.9959,16985
cytoplasm,2,2,192,50.9203,120.9844,400.9844,626.848,18945
cytoplasm,3,2,175.6094,37.9764,99.9844,263.9844,592.1389,17896
