Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
3.849,24.004,1579,712,972372,615.815,421.214,436,250,2219,203.889,122.714,8.482,0.961,0.250,0.922,204.490,122.741,8.398,190,114,5,29,18,9
5.488,29.301,2251,877,1596917,709.426,509.091,495,250,2647,183.896,252.229,10.493,1.122,0.313,1.046,183.754,252.252,10.457,169,242,6,35,20,10
