Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
0.707,6.153,290,164,181969,627.479,415.074,492.500,250,2075,236.424,78.324,6.279,0.508,0.073,0.504,236.448,78.233,6.232,232,74,3,9,10,7
1.173,8.803,481,235,318713,662.605,483.080,480.000,250,2658,107.177,241.137,8.497,0.617,0.090,0.616,107.174,241.279,8.513,103,235,5,10,12,8
3.140,21.806,1288,630,767498,595.884,364.564,456.000,250,2170,214.887,208.736,9.358,1.011,0.337,0.987,214.743,208.544,9.350,202,200,6,24,24,8
3.796,29.627,1557,841,799890,513.738,310.017,396.000,250,2152,140.629,133.041,12.278,1.329,0.637,1.178,141.074,132.550,12.286,128,115,8,32,38,9
0.368,4.007,151,106,70190,464.834,198.237,408.000,250,1154,172.285,109.828,12.311,0.403,0.091,0.389,172.077,109.895,12.373,168,107,10,10,6,6
