Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
5.997,29.470,2460,855,2111107,858.174,738.351,520.500,250,3807,240.970,242.857,8.665,1.103,0.203,1.054,240.804,242.983,8.549,230,229,3,23,26,13
7.106,36.662,2915,1016,2343739,804.027,706.199,497.000,250,3949,149.312,162.927,11.017,1.220,0.326,1.152,149.875,162.275,11.090,135,148,5,28,36,12
