measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1705.5156,367.6969,735.1562,2395.1562,3827.2966,115671
microtubule,2,3,1122.6094,134.8251,855.1562,1437.1562,2592.9239,78365
microtubule,3,3,912.0156,176.0289,491.1562,1215.1562,2146.9668,64887
microtubule,1,1,82.7031,37.1382,16.7812,153.7812,385.241,11643
microtubule,2,1,75.3281,20.4147,37.7812,127.7812,369.6236,11171
microtubule,3,1,46.8906,15.5043,19.7812,89.7812,309.4038,9351
microtubule,1,2,149.3594,19.4707,96.4219,186.4219,529.2721,15996
microtubule,2,2,141.8281,18.3387,104.4219,190.4219,513.3238,15514
microtubule,3,2,121.3281,17.2725,89.4219,177.4219,469.9126,14202
cytoplasm,1,3,204.9062,35.714,124.1562,289.1562,649.5793,19632
cytoplasm,2,3,235.5,37.1463,164.1562,374.1562,714.3652,21590
cytoplasm,3,3,238.1406,76.7301,121.1562,473.1562,719.957,21759
cytoplasm,1,1,28.7188,12.709,6.7812,65.7812,270.9227,8188
cytoplasm,2,1,37.3125,9.9682,12.7812,58.7812,289.121,8738
cytoplasm,3,1,72.8906,21.1143,22.7812,121.7812,364.4619,11015
cytoplasm,1,2,75.4688,10.3363,49.4219,98.4219,372.8,11267
cytoplasm,2,2,84.5312,14.0793,47.4219,118.4219,391.9909,11847
cytoplasm,3,2,115.2344,17.8556,73.4219,150.4219,457.0084,13812
