measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,547.3906,92.2764,304.375,725.375,1535.3061,46401
microtubule,2,3,817.8438,121.0218,602.375,1044.375,2108.0225,63710
microtubule,3,3,540.1875,206.9391,125.375,893.375,1520.0526,45940
microtubule,1,1,72.3594,25.5877,27.875,131.875,407.6084,12319
microtubule,2,1,822.6719,551.1641,119.875,2265.875,1996.4836,60339
microtubule,3,1,104.1562,32.9427,48.875,170.875,474.942,14354
microtubule,1,2,95.9688,15.5984,66.7031,135.7031,443.1446,13393
microtubule,2,2,125.7188,18.0937,88.7031,169.7031,506.1438,15297
microtubule,3,2,108.0156,13.4222,76.7031,135.7031,468.6553,14164
cytoplasm,1,3,234.2188,55.5218,134.375,384.375,872.1277,26358
cytoplasm,2,3,91.8594,23.3945,37.375,135.375,570.6649,17247
cytoplasm,3,3,115.7344,37.0218,45.375,220.375,621.2231,18775
cytoplasm,1,1,117.3281,30.6278,66.875,215.875,502.835,15197
cytoplasm,2,1,86.4219,26.4557,39.875,166.875,437.3874,13219
cytoplasm,3,1,48.9531,23.7,4.875,118.875,358.0429,10821
cytoplasm,1,2,116.5625,15.3776,76.7031,157.7031,486.7543,14711
cytoplasm,2,2,107.6406,14.7044,58.7031,142.7031,467.8612,14140
cytoplasm,3,2,72.5312,15.2873,32.7031,102.7031,393.513,11893
